event_id,aircraft_id,event_date,maintenance_type,downtime_days,issue_category
164,AC-009,2025-10-09,Scheduled,2.2,Routine Inspection
165,AC-009,2022-02-08,Scheduled,3.1,Routine Inspection
166,AC-009,2023-06-05,Scheduled,1.8,Routine Inspection
167,AC-009,2021-07-18,Scheduled,1.5,Routine Inspection
168,AC-009,2023-07-11,Scheduled,1.1,Routine Inspection
169,AC-009,2025-04-25,Scheduled,3.8,Routine Inspection
170,AC-009,2021-11-19,Scheduled,2.6,Routine Inspection
171,AC-009,2025-03-31,Scheduled,3.2,Routine Inspection
172,AC-009,2023-07-26,Scheduled,2.4,Routine Inspection
173,AC-009,2022-03-06,Scheduled,2.7,Routine Inspection
174,AC-009,2023-10-03,Unscheduled,5.5,Sensor/Payload
175,AC-009,2025-07-28,Unscheduled,0.9,Sensor/Payload
176,AC-009,2023-01-08,Unscheduled,0.5,Avionics
177,AC-009,2021-09-08,Unscheduled,0.5,Other
178,AC-009,2025-10-17,Unscheduled,0.6,Avionics
179,AC-009,2023-01-11,Unscheduled,1.3,Avionics
180,AC-009,2023-05-07,Unscheduled,2.0,Sensor/Payload
181,AC-009,2024-03-23,Unscheduled,0.6,Avionics
182,AC-009,2025-06-22,Unscheduled,4.3,Avionics
183,AC-009,2024-08-18,Unscheduled,0.5,Airframe
184,AC-009,2023-04-12,Unscheduled,2.6,Sensor/Payload
185,AC-009,2021-05-30,Unscheduled,1.8,Engine
186,AC-009,2021-07-06,Unscheduled,2.6,Sensor/Payload
187,AC-009,2024-03-07,Unscheduled,2.0,Engine
188,AC-009,2022-11-14,Unscheduled,4.2,Sensor/Payload
189,AC-010,2022-01-06,Scheduled,2.0,Routine Inspection
190,AC-010,2021-04-07,Scheduled,2.6,Routine Inspection
191,AC-010,2024-08-14,Scheduled,1.7,Routine Inspection
192,AC-010,2021-02-22,Scheduled,3.8,Routine Inspection
193,AC-010,2025-02-20,Scheduled,2.3,Routine Inspection
194,AC-010,2021-03-13,Scheduled,2.3,Routine Inspection
195,AC-010,2022-03-30,Scheduled,1.1,Routine Inspection
196,AC-010,2022-08-02,Scheduled,2.2,Routine Inspection
197,AC-010,2021-06-01,Scheduled,1.0,Routine Inspection
198,AC-010,2023-04-01,Scheduled,3.3,Routine Inspection
199,AC-010,2023-09-26,Scheduled,1.1,Routine Inspection
200,AC-010,2022-11-14,Unscheduled,1.2,Avionics
201,AC-010,2021-02-13,Unscheduled,6.7,Airframe
202,AC-010,2022-08-02,Unscheduled,0.5,Other
203,AC-010,2021-08-02,Unscheduled,3.5,Engine
204,AC-010,2023-09-08,Unscheduled,3.6,Airframe
205,AC-010,2025-04-10,Unscheduled,0.5,Airframe
206,AC-010,2023-11-25,Unscheduled,1.4,Avionics
207,AC-010,2024-12-27,Unscheduled,4.7,Other
208,AC-010,2024-01-16,Unscheduled,1.5,Other
209,AC-010,2025-11-28,Unscheduled,1.4,Airframe
210,AC-010,2024-03-01,Unscheduled,5.0,Sensor/Payload
211,AC-010,2021-03-28,Unscheduled,2.1,Other
212,AC-010,2021-11-02,Unscheduled,0.7,Engine
213,AC-010,2022-06-04,Unscheduled,3.2,Other
214,AC-010,2022-03-22,Unscheduled,1.5,Engine
215,AC-011,2023-01-04,Scheduled,1.5,Routine Inspection
216,AC-011,2021-12-21,Scheduled,1.4,Routine Inspection
217,AC-011,2021-08-24,Scheduled,2.2,Routine Inspection
218,AC-011,2022-05-12,Scheduled,1.6,Routine Inspection
219,AC-011,2021-07-18,Scheduled,2.7,Routine Inspection
220,AC-011,2024-10-21,Scheduled,3.0,Routine Inspection
221,AC-011,2023-09-15,Scheduled,3.8,Routine Inspection
222,AC-011,2021-07-14,Scheduled,1.4,Routine Inspection
223,AC-011,2023-10-24,Scheduled,2.7,Routine Inspection
224,AC-011,2023-06-08,Scheduled,3.3,Routine Inspection
225,AC-011,2025-12-21,Scheduled,3.8,Routine Inspection
226,AC-011,2022-09-05,Unscheduled,0.9,Avionics
227,AC-011,2022-01-27,Unscheduled,14.3,Sensor/Payload
228,AC-011,2024-11-16,Unscheduled,1.3,Engine
229,AC-011,2023-12-08,Unscheduled,0.7,Sensor/Payload
230,AC-011,2022-02-18,Unscheduled,0.5,Sensor/Payload
231,AC-011,2025-05-02,Unscheduled,1.7,Avionics
232,AC-011,2021-07-13,Unscheduled,8.7,Sensor/Payload
233,AC-011,2021-08-20,Unscheduled,0.6,Airframe
234,AC-011,2025-06-01,Unscheduled,1.1,Airframe
235,AC-011,2025-09-04,Unscheduled,0.5,Sensor/Payload
236,AC-011,2023-04-10,Unscheduled,0.5,Sensor/Payload
237,AC-011,2022-08-03,Unscheduled,0.8,Engine
238,AC-011,2023-08-11,Unscheduled,4.6,Engine
239,AC-011,2022-02-19,Unscheduled,0.5,Engine
240,AC-011,2021-03-01,Unscheduled,2.1,Sensor/Payload
241,AC-011,2022-04-08,Unscheduled,7.9,Avionics
242,AC-012,2023-07-07,Scheduled,2.0,Routine Inspection
243,AC-012,2024-11-01,Scheduled,2.2,Routine Inspection
244,AC-012,2024-12-15,Scheduled,2.0,Routine Inspection
245,AC-012,2023-10-09,Scheduled,2.2,Routine Inspection
246,AC-012,2024-10-31,Scheduled,1.4,Routine Inspection
247,AC-012,2022-01-24,Scheduled,3.0,Routine Inspection
248,AC-012,2022-10-29,Scheduled,1.6,Routine Inspection
249,AC-012,2024-10-22,Scheduled,3.1,Routine Inspection
250,AC-012,2021-05-29,Scheduled,3.3,Routine Inspection
251,AC-012,2023-12-13,Scheduled,1.4,Routine Inspection
252,AC-012,2023-05-15,Scheduled,3.9,Routine Inspection
253,AC-012,2021-05-12,Scheduled,3.4,Routine Inspection
254,AC-012,2023-07-23,Unscheduled,3.1,Avionics
255,AC-012,2022-01-25,Unscheduled,0.5,Avionics
256,AC-012,2022-08-02,Unscheduled,1.4,Avionics
257,AC-012,2023-05-25,Unscheduled,2.3,Avionics
258,AC-012,2021-08-11,Unscheduled,2.5,Airframe
259,AC-012,2023-02-17,Unscheduled,2.5,Avionics
260,AC-012,2022-08-14,Unscheduled,2.7,Avionics
261,AC-013,2023-08-06,Scheduled,2.1,Routine Inspection
262,AC-013,2025-01-10,Scheduled,1.5,Routine Inspection
263,AC-013,2021-03-01,Scheduled,3.5,Routine Inspection
264,AC-013,2024-10-13,Scheduled,1.8,Routine Inspection
265,AC-013,2023-05-15,Scheduled,1.8,Routine Inspection
266,AC-013,2021-09-27,Scheduled,3.2,Routine Inspection
267,AC-013,2024-03-23,Scheduled,3.6,Routine Inspection
268,AC-013,2022-12-29,Scheduled,1.2,Routine Inspection
269,AC-013,2024-05-18,Scheduled,3.2,Routine Inspection
270,AC-013,2021-12-28,Scheduled,3.0,Routine Inspection
271,AC-013,2022-08-10,Scheduled,1.5,Routine Inspection
272,AC-013,2025-05-08,Scheduled,1.7,Routine Inspection
273,AC-013,2021-07-08,Unscheduled,8.9,Other
274,AC-013,2023-08-03,Unscheduled,1.1,Other
275,AC-013,2022-08-03,Unscheduled,1.8,Avionics
276,AC-013,2022-08-25,Unscheduled,6.3,Avionics
277,AC-013,2025-08-06,Unscheduled,4.4,Other
278,AC-013,2021-08-08,Unscheduled,1.7,Engine
279,AC-013,2024-10-21,Unscheduled,5.7,Airframe
280,AC-013,2025-04-09,Unscheduled,3.3,Sensor/Payload
281,AC-013,2025-11-16,Unscheduled,3.5,Engine
282,AC-013,2024-01-15,Unscheduled,0.5,Engine
283,AC-014,2023-08-20,Scheduled,2.7,Routine Inspection
284,AC-014,2022-04-25,Scheduled,1.7,Routine Inspection
285,AC-014,2023-01-31,Scheduled,3.5,Routine Inspection
286,AC-014,2022-08-25,Scheduled,3.4,Routine Inspection
287,AC-014,2023-10-16,Scheduled,3.2,Routine Inspection
288,AC-014,2022-04-27,Scheduled,2.8,Routine Inspection
289,AC-014,2022-11-30,Scheduled,2.4,Routine Inspection
290,AC-014,2022-04-16,Scheduled,3.4,Routine Inspection
291,AC-014,2025-02-12,Scheduled,3.0,Routine Inspection
292,AC-014,2025-04-22,Scheduled,1.9,Routine Inspection
293,AC-014,2023-06-04,Scheduled,3.1,Routine Inspection
294,AC-014,2021-09-26,Unscheduled,4.5,Avionics
295,AC-014,2023-10-17,Unscheduled,4.3,Airframe
296,AC-014,2024-01-29,Unscheduled,6.7,Airframe
297,AC-014,2025-03-24,Unscheduled,3.5,Engine
298,AC-014,2024-09-29,Unscheduled,6.7,Engine
299,AC-014,2024-12-21,Unscheduled,4.0,Avionics
300,AC-014,2024-04-01,Unscheduled,2.3,Airframe
301,AC-014,2021-11-22,Unscheduled,0.9,Engine
302,AC-014,2025-05-13,Unscheduled,0.5,Airframe
303,AC-014,2024-07-03,Unscheduled,5.5,Sensor/Payload
304,AC-014,2024-07-16,Unscheduled,2.9,Engine
305,AC-014,2024-04-18,Unscheduled,5.3,Engine
306,AC-014,2022-03-26,Unscheduled,0.5,Other
307,AC-014,2025-10-17,Unscheduled,0.6,Engine
308,AC-014,2025-07-25,Unscheduled,0.9,Avionics
309,AC-015,2025-02-11,Scheduled,1.4,Routine Inspection
310,AC-015,2022-03-23,Scheduled,1.9,Routine Inspection
311,AC-015,2021-03-24,Scheduled,2.4,Routine Inspection
312,AC-015,2025-01-29,Scheduled,3.9,Routine Inspection
313,AC-015,2023-01-26,Scheduled,2.5,Routine Inspection
314,AC-015,2023-04-01,Scheduled,3.0,Routine Inspection
315,AC-015,2024-12-24,Scheduled,3.3,Routine Inspection
316,AC-015,2023-12-31,Scheduled,1.3,Routine Inspection
317,AC-015,2024-01-15,Scheduled,2.6,Routine Inspection
318,AC-015,2023-06-22,Scheduled,1.9,Routine Inspection
319,AC-015,2021-06-01,Scheduled,3.6,Routine Inspection
320,AC-015,2025-06-03,Scheduled,4.0,Routine Inspection
321,AC-015,2023-05-22,Unscheduled,3.2,Avionics
322,AC-015,2025-02-23,Unscheduled,2.4,Engine
323,AC-015,2023-11-05,Unscheduled,0.5,Sensor/Payload
324,AC-015,2025-08-15,Unscheduled,3.9,Engine
325,AC-015,2022-11-29,Unscheduled,6.4,Airframe
326,AC-015,2025-05-18,Unscheduled,3.1,Sensor/Payload
327,AC-015,2025-06-04,Unscheduled,2.2,Airframe
328,AC-015,2025-05-26,Unscheduled,3.2,Engine
329,AC-015,2023-03-24,Unscheduled,3.2,Airframe
330,AC-016,2024-11-29,Scheduled,3.0,Routine Inspection
331,AC-016,2023-08-23,Scheduled,1.2,Routine Inspection
332,AC-016,2022-09-16,Scheduled,1.6,Routine Inspection
333,AC-016,2021-08-23,Scheduled,3.9,Routine Inspection
334,AC-016,2024-10-25,Scheduled,2.5,Routine Inspection
335,AC-016,2024-07-02,Scheduled,2.9,Routine Inspection
336,AC-016,2025-10-24,Scheduled,1.1,Routine Inspection
337,AC-016,2024-08-29,Scheduled,2.9,Routine Inspection
338,AC-016,2021-11-23,Scheduled,1.7,Routine Inspection
339,AC-016,2023-11-09,Scheduled,1.8,Routine Inspection
340,AC-016,2025-06-03,Scheduled,3.9,Routine Inspection
341,AC-016,2023-02-07,Scheduled,3.4,Routine Inspection
342,AC-016,2023-03-05,Unscheduled,6.4,Airframe
343,AC-016,2024-10-09,Unscheduled,3.8,Sensor/Payload
344,AC-016,2025-08-12,Unscheduled,1.6,Airframe
345,AC-016,2022-06-27,Unscheduled,1.2,Sensor/Payload
346,AC-016,2021-06-03,Unscheduled,4.5,Engine
347,AC-016,2021-06-03,Unscheduled,4.5,Sensor/Payload
348,AC-016,2023-09-14,Unscheduled,1.4,Sensor/Payload
349,AC-016,2023-05-28,Unscheduled,0.5,Avionics
350,AC-016,2021-05-01,Unscheduled,3.6,Avionics
351,AC-016,2025-06-23,Unscheduled,0.8,Engine
352,AC-016,2024-01-01,Unscheduled,0.5,Engine
353,AC-016,2024-10-13,Unscheduled,2.1,Sensor/Payload
354,AC-017,2022-09-15,Scheduled,2.7,Routine Inspection
355,AC-017,2025-07-20,Scheduled,3.6,Routine Inspection
356,AC-017,2024-07-30,Scheduled,1.5,Routine Inspection
357,AC-017,2025-04-17,Scheduled,2.8,Routine Inspection
358,AC-017,2021-09-08,Scheduled,1.3,Routine Inspection
359,AC-017,2023-12-02,Scheduled,2.6,Routine Inspection
360,AC-017,2021-06-25,Scheduled,3.0,Routine Inspection
361,AC-017,2025-05-04,Scheduled,1.5,Routine Inspection
362,AC-017,2025-12-16,Scheduled,1.5,Routine Inspection
363,AC-017,2021-12-17,Scheduled,3.4,Routine Inspection
364,AC-017,2022-11-19,Scheduled,2.5,Routine Inspection
365,AC-017,2021-08-28,Scheduled,1.8,Routine Inspection
366,AC-017,2025-08-27,Scheduled,3.2,Routine Inspection
367,AC-017,2024-09-14,Unscheduled,1.7,Avionics
368,AC-017,2024-01-27,Unscheduled,3.4,Avionics
369,AC-017,2023-12-23,Unscheduled,1.1,Sensor/Payload
370,AC-017,2021-04-23,Unscheduled,1.4,Avionics
371,AC-017,2024-01-29,Unscheduled,2.3,Avionics
372,AC-017,2021-10-10,Unscheduled,3.7,Airframe
373,AC-017,2023-05-05,Unscheduled,4.2,Sensor/Payload
374,AC-017,2021-09-22,Unscheduled,2.7,Avionics
375,AC-018,2021-11-21,Scheduled,3.6,Routine Inspection
376,AC-018,2024-10-31,Scheduled,1.4,Routine Inspection
377,AC-018,2021-08-15,Scheduled,3.1,Routine Inspection
378,AC-018,2022-08-11,Scheduled,1.3,Routine Inspection
379,AC-018,2021-11-13,Scheduled,1.2,Routine Inspection
380,AC-018,2025-04-02,Scheduled,2.3,Routine Inspection
381,AC-018,2021-03-13,Scheduled,2.3,Routine Inspection
382,AC-018,2023-06-16,Scheduled,1.5,Routine Inspection
383,AC-018,2023-04-01,Scheduled,1.7,Routine Inspection
384,AC-018,2023-09-07,Scheduled,3.9,Routine Inspection
385,AC-018,2025-05-24,Scheduled,3.8,Routine Inspection
386,AC-018,2021-11-24,Scheduled,1.5,Routine Inspection
387,AC-018,2021-12-15,Scheduled,2.3,Routine Inspection
388,AC-018,2021-10-17,Unscheduled,4.4,Sensor/Payload
389,AC-018,2022-03-12,Unscheduled,2.5,Avionics
390,AC-018,2021-05-09,Unscheduled,7.3,Avionics
391,AC-018,2021-08-11,Unscheduled,0.9,Engine
392,AC-018,2023-07-19,Unscheduled,0.7,Airframe
393,AC-018,2023-02-13,Unscheduled,1.0,Engine
394,AC-018,2022-07-07,Unscheduled,7.6,Sensor/Payload
395,AC-018,2021-07-25,Unscheduled,0.5,Avionics
396,AC-019,2021-10-13,Scheduled,2.9,Routine Inspection
397,AC-019,2025-01-29,Scheduled,2.4,Routine Inspection
398,AC-019,2022-02-12,Scheduled,1.1,Routine Inspection
399,AC-019,2021-07-14,Scheduled,2.3,Routine Inspection
400,AC-019,2023-10-13,Scheduled,3.4,Routine Inspection
401,AC-019,2021-10-21,Scheduled,3.2,Routine Inspection
402,AC-019,2022-12-30,Scheduled,2.7,Routine Inspection
403,AC-019,2024-05-26,Scheduled,3.5,Routine Inspection
404,AC-019,2022-11-20,Scheduled,1.1,Routine Inspection
405,AC-019,2025-05-16,Scheduled,1.4,Routine Inspection
406,AC-019,2025-05-28,Scheduled,3.1,Routine Inspection
407,AC-019,2025-09-18,Scheduled,3.9,Routine Inspection
408,AC-019,2022-02-15,Unscheduled,0.5,Avionics
409,AC-019,2022-03-31,Unscheduled,3.8,Airframe
410,AC-019,2022-02-02,Unscheduled,7.5,Engine
411,AC-019,2021-03-13,Unscheduled,0.5,Engine
412,AC-019,2022-07-26,Unscheduled,0.7,Airframe
413,AC-019,2025-07-16,Unscheduled,1.5,Sensor/Payload
414,AC-019,2025-09-18,Unscheduled,1.9,Avionics
415,AC-019,2024-02-14,Unscheduled,1.4,Sensor/Payload
416,AC-020,2023-04-15,Scheduled,1.3,Routine Inspection
417,AC-020,2025-01-10,Scheduled,2.6,Routine Inspection
418,AC-020,2025-07-12,Scheduled,2.2,Routine Inspection
419,AC-020,2021-07-29,Scheduled,1.2,Routine Inspection
420,AC-020,2023-11-08,Scheduled,3.0,Routine Inspection
421,AC-020,2021-06-14,Scheduled,3.3,Routine Inspection
422,AC-020,2021-03-03,Scheduled,3.4,Routine Inspection
423,AC-020,2021-05-27,Scheduled,2.6,Routine Inspection
424,AC-020,2023-02-11,Scheduled,1.8,Routine Inspection
425,AC-020,2022-12-07,Scheduled,1.9,Routine Inspection
426,AC-020,2021-11-01,Scheduled,3.0,Routine Inspection
427,AC-020,2025-04-01,Scheduled,1.6,Routine Inspection
428,AC-020,2025-02-15,Unscheduled,1.8,Avionics
429,AC-020,2023-03-24,Unscheduled,1.9,Avionics
430,AC-020,2023-03-05,Unscheduled,5.1,Avionics
431,AC-020,2025-06-30,Unscheduled,0.5,Engine
432,AC-020,2023-10-04,Unscheduled,2.6,Airframe
433,AC-020,2024-01-15,Unscheduled,0.5,Engine
434,AC-020,2022-04-03,Unscheduled,1.7,Engine
435,AC-020,2021-06-02,Unscheduled,2.1,Engine
436,AC-020,2021-04-05,Unscheduled,4.4,Avionics
437,AC-020,2022-09-28,Unscheduled,0.5,Sensor/Payload
438,AC-020,2022-04-21,Unscheduled,1.6,Avionics
439,AC-020,2024-06-26,Unscheduled,1.1,Airframe
440,AC-020,2024-04-20,Unscheduled,3.2,Engine
441,AC-021,2022-07-23,Scheduled,3.9,Routine Inspection
442,AC-021,2023-12-07,Scheduled,3.6,Routine Inspection
443,AC-021,2021-05-14,Scheduled,3.8,Routine Inspection
