flight_id,aircraft_id,unit,flight_date,flight_hours,mission_type,weather_condition,completed,abort_reason
67,AC-001,Alpha,2021-07-01,1.1,Training,Marginal,False,Other
68,AC-001,Alpha,2021-07-02,2.7,Operational,Marginal,True,
69,AC-001,Alpha,2021-07-03,4.1,Operational,Marginal,True,
70,AC-001,Alpha,2021-07-05,1.1,Training,Marginal,False,Other
71,AC-001,Alpha,2021-07-06,2.1,Training,Clear,True,
72,AC-001,Alpha,2021-07-12,2.7,Operational,Clear,True,
73,AC-001,Alpha,2021-07-13,0.5,Training,Marginal,False,Technical
74,AC-001,Alpha,2021-07-15,1.1,Training,Marginal,True,
75,AC-001,Alpha,2021-07-16,3.8,Training,Marginal,True,
76,AC-001,Alpha,2021-07-20,1.3,Training,Clear,False,Technical
77,AC-001,Alpha,2021-07-21,3.0,Operational,Poor,True,
78,AC-001,Alpha,2021-07-22,2.2,Training,Clear,True,
79,AC-001,Alpha,2021-07-23,3.2,Transit,Clear,True,
80,AC-001,Alpha,2021-07-24,0.6,Training,Marginal,False,Technical
81,AC-001,Alpha,2021-07-27,1.2,Training,Clear,False,Technical
82,AC-001,Alpha,2021-07-30,1.1,Transit,Clear,False,Other
83,AC-001,Alpha,2021-07-31,0.7,Training,Clear,False,Technical
84,AC-001,Alpha,2021-08-01,2.3,Training,Poor,True,
85,AC-001,Alpha,2021-08-02,4.4,Operational,Clear,True,
86,AC-001,Alpha,2021-08-03,2.1,Training,Clear,True,
87,AC-001,Alpha,2021-08-04,3.2,Training,Clear,True,
88,AC-001,Alpha,2021-08-06,1.5,Operational,Clear,True,
89,AC-001,Alpha,2021-08-09,1.6,Training,Clear,True,
90,AC-001,Alpha,2021-08-10,1.9,Transit,Clear,True,
91,AC-001,Alpha,2021-08-12,3.5,Training,Clear,True,
92,AC-001,Alpha,2021-08-13,0.7,Training,Clear,True,
93,AC-001,Alpha,2021-08-17,0.8,Operational,Marginal,False,Technical
94,AC-001,Alpha,2021-08-19,1.9,Transit,Clear,False,Technical
95,AC-001,Alpha,2021-08-21,3.9,Training,Clear,True,
96,AC-001,Alpha,2021-08-22,1.8,Training,Clear,True,
97,AC-001,Alpha,2021-08-24,3.2,Operational,Marginal,True,
98,AC-001,Alpha,2021-08-26,3.1,Transit,Clear,True,
99,AC-001,Alpha,2021-08-29,3.0,Reconnaissance,Marginal,True,
100,AC-001,Alpha,2021-08-30,3.8,Operational,Clear,True,
101,AC-001,Alpha,2021-09-01,4.3,Training,Clear,True,
102,AC-001,Alpha,2021-09-04,1.2,Operational,Marginal,False,Other
103,AC-001,Alpha,2021-09-05,3.5,Reconnaissance,Clear,True,
104,AC-001,Alpha,2021-09-06,3.5,Training,Marginal,True,
105,AC-001,Alpha,2021-09-08,3.6,Reconnaissance,Clear,True,
106,AC-001,Alpha,2021-09-09,3.2,Reconnaissance,Marginal,True,
107,AC-001,Alpha,2021-09-14,2.2,Reconnaissance,Poor,True,
108,AC-001,Alpha,2021-09-15,5.3,Training,Marginal,True,
109,AC-001,Alpha,2021-09-18,4.1,Operational,Clear,True,
110,AC-001,Alpha,2021-09-21,3.5,Training,Clear,True,
111,AC-001,Alpha,2021-09-22,3.9,Training,Marginal,True,
112,AC-001,Alpha,2021-09-23,2.4,Reconnaissance,Marginal,True,
113,AC-001,Alpha,2021-09-24,3.1,Operational,Clear,True,
114,AC-001,Alpha,2021-09-25,1.1,Operational,Poor,True,
115,AC-001,Alpha,2021-09-26,1.6,Reconnaissance,Clear,False,Other
116,AC-001,Alpha,2021-09-28,2.7,Training,Clear,True,
117,AC-001,Alpha,2021-10-02,4.4,Training,Clear,True,
118,AC-001,Alpha,2021-10-09,3.0,Training,Poor,True,
119,AC-001,Alpha,2021-10-10,3.6,Training,Marginal,True,
120,AC-001,Alpha,2021-10-11,4.8,Reconnaissance,Marginal,True,
121,AC-001,Alpha,2021-10-12,0.7,Training,Clear,False,Technical
122,AC-001,Alpha,2021-10-17,1.4,Transit,Clear,False,Technical
123,AC-001,Alpha,2021-10-18,1.4,Training,Clear,False,Technical
124,AC-001,Alpha,2021-10-22,0.2,Reconnaissance,Poor,False,Weather
125,AC-001,Alpha,2021-10-24,1.0,Reconnaissance,Clear,False,Technical
126,AC-001,Alpha,2021-10-28,0.4,Training,Poor,False,Weather
127,AC-001,Alpha,2021-11-09,3.9,Reconnaissance,Marginal,True,
128,AC-001,Alpha,2021-11-29,2.8,Operational,Clear,True,
129,AC-001,Alpha,2021-11-30,1.0,Training,Clear,False,Technical
130,AC-001,Alpha,2021-12-01,3.9,Training,Clear,True,
131,AC-001,Alpha,2021-12-03,2.8,Operational,Clear,True,
132,AC-001,Alpha,2021-12-04,4.5,Training,Clear,True,
133,AC-001,Alpha,2021-12-06,4.3,Reconnaissance,Clear,True,
134,AC-001,Alpha,2021-12-14,0.9,Transit,Poor,False,Technical
135,AC-001,Alpha,2021-12-18,3.3,Training,Clear,True,
136,AC-001,Alpha,2021-12-20,2.5,Reconnaissance,Marginal,True,
137,AC-001,Alpha,2021-12-24,0.5,Training,Marginal,False,Weather
138,AC-001,Alpha,2021-12-29,0.5,Reconnaissance,Clear,False,Technical
139,AC-001,Alpha,2021-12-31,3.2,Operational,Clear,True,
140,AC-001,Alpha,2022-01-05,4.6,Transit,Marginal,True,
141,AC-001,Alpha,2022-01-07,1.1,Training,Marginal,False,Technical
142,AC-001,Alpha,2022-01-13,2.8,Training,Marginal,True,
143,AC-001,Alpha,2022-01-14,0.9,Training,Clear,False,Weather
144,AC-001,Alpha,2022-01-16,2.2,Reconnaissance,Clear,True,
145,AC-001,Alpha,2022-01-18,1.3,Operational,Clear,False,Technical
146,AC-001,Alpha,2022-01-21,4.0,Reconnaissance,Clear,True,
147,AC-001,Alpha,2022-01-22,1.2,Reconnaissance,Clear,False,Technical
148,AC-001,Alpha,2022-01-28,2.9,Operational,Clear,True,
149,AC-001,Alpha,2022-02-02,1.1,Operational,Clear,True,
150,AC-001,Alpha,2022-02-08,4.1,Training,Clear,True,
151,AC-001,Alpha,2022-02-09,2.9,Training,Clear,True,
152,AC-001,Alpha,2022-02-10,0.8,Operational,Marginal,False,Weather
153,AC-001,Alpha,2022-02-12,2.0,Training,Marginal,True,
154,AC-001,Alpha,2022-02-14,2.5,Reconnaissance,Clear,True,
155,AC-001,Alpha,2022-02-15,4.2,Training,Clear,True,
156,AC-001,Alpha,2022-02-18,0.7,Training,Clear,True,
157,AC-001,Alpha,2022-02-24,2.6,Training,Clear,True,
158,AC-001,Alpha,2022-02-26,3.3,Operational,Poor,True,
159,AC-001,Alpha,2022-02-28,1.2,Training,Clear,False,Technical
160,AC-001,Alpha,2022-03-16,3.3,Operational,Clear,True,
161,AC-001,Alpha,2022-03-19,1.9,Transit,Marginal,False,Weather
162,AC-001,Alpha,2022-03-23,3.6,Operational,Clear,True,
163,AC-001,Alpha,2022-03-28,3.2,Training,Marginal,True,
164,AC-001,Alpha,2022-03-30,0.9,Reconnaissance,Clear,True,
165,AC-001,Alpha,2022-04-03,0.3,Reconnaissance,Clear,False,Technical
166,AC-001,Alpha,2022-04-06,0.4,Training,Clear,False,Technical
167,AC-001,Alpha,2022-04-07,3.6,Training,Marginal,True,
168,AC-001,Alpha,2022-04-09,1.5,Training,Marginal,True,
169,AC-001,Alpha,2022-04-10,3.1,Training,Clear,True,
170,AC-001,Alpha,2022-04-11,0.5,Transit,Clear,False,Other
171,AC-001,Alpha,2022-04-15,0.3,Training,Clear,False,Other
172,AC-001,Alpha,2022-04-17,0.5,Training,Poor,False,Weather
173,AC-001,Alpha,2022-04-19,2.7,Transit,Clear,True,
174,AC-001,Alpha,2022-04-20,4.1,Transit,Clear,True,
175,AC-001,Alpha,2022-04-21,2.2,Training,Poor,False,Technical
176,AC-001,Alpha,2022-04-24,1.3,Operational,Marginal,False,Other
177,AC-001,Alpha,2022-04-25,1.3,Training,Clear,True,
178,AC-001,Alpha,2022-04-26,0.3,Reconnaissance,Clear,False,Technical
179,AC-001,Alpha,2022-04-27,3.9,Transit,Clear,True,
180,AC-001,Alpha,2022-04-30,2.7,Training,Clear,True,
181,AC-001,Alpha,2022-05-05,0.2,Operational,Marginal,False,Weather
182,AC-001,Alpha,2022-05-06,0.6,Transit,Clear,False,Technical
183,AC-001,Alpha,2022-05-07,4.1,Operational,Marginal,True,
184,AC-001,Alpha,2022-05-09,0.7,Training,Poor,False,Technical
185,AC-001,Alpha,2022-05-10,1.5,Operational,Poor,False,Weather
186,AC-001,Alpha,2022-05-11,5.8,Training,Clear,True,
187,AC-001,Alpha,2022-05-13,1.1,Reconnaissance,Clear,False,Technical
188,AC-001,Alpha,2022-05-16,2.4,Operational,Marginal,True,
189,AC-001,Alpha,2022-05-17,1.8,Operational,Marginal,True,
190,AC-001,Alpha,2022-05-18,4.4,Training,Marginal,True,
191,AC-001,Alpha,2022-05-21,2.8,Transit,Clear,True,
192,AC-001,Alpha,2022-05-22,3.6,Reconnaissance,Clear,True,
193,AC-001,Alpha,2022-05-23,3.6,Operational,Clear,True,
194,AC-001,Alpha,2022-05-24,2.0,Operational,Clear,True,
195,AC-001,Alpha,2022-05-25,4.0,Operational,Marginal,True,
196,AC-001,Alpha,2022-05-27,3.0,Training,Clear,True,
197,AC-001,Alpha,2022-05-28,3.3,Training,Marginal,True,
198,AC-001,Alpha,2022-05-29,0.4,Training,Clear,False,Other
199,AC-001,Alpha,2022-06-06,0.9,Training,Clear,True,
200,AC-001,Alpha,2022-06-07,1.9,Operational,Clear,True,
201,AC-001,Alpha,2022-06-08,0.5,Reconnaissance,Marginal,False,Technical
202,AC-001,Alpha,2022-06-09,2.9,Operational,Clear,True,
203,AC-001,Alpha,2022-06-11,1.0,Training,Clear,False,Technical
204,AC-001,Alpha,2022-06-13,1.1,Reconnaissance,Clear,False,Technical
205,AC-001,Alpha,2022-06-15,3.4,Transit,Clear,True,
206,AC-001,Alpha,2022-06-16,3.6,Reconnaissance,Clear,True,
207,AC-001,Alpha,2022-06-18,0.8,Operational,Clear,True,
208,AC-001,Alpha,2022-06-19,2.4,Reconnaissance,Clear,True,
209,AC-001,Alpha,2022-06-21,2.7,Training,Clear,True,
210,AC-001,Alpha,2022-06-26,4.9,Transit,Clear,True,
211,AC-001,Alpha,2022-06-28,2.9,Training,Clear,True,
212,AC-001,Alpha,2022-06-29,2.8,Transit,Marginal,True,
213,AC-001,Alpha,2022-06-30,2.5,Training,Clear,True,
214,AC-001,Alpha,2022-07-01,2.4,Training,Marginal,True,
215,AC-001,Alpha,2022-07-04,0.6,Reconnaissance,Poor,True,
216,AC-001,Alpha,2022-07-05,0.9,Training,Marginal,False,Weather
217,AC-001,Alpha,2022-07-08,0.3,Operational,Marginal,False,Technical
218,AC-001,Alpha,2022-07-09,3.1,Operational,Clear,True,
219,AC-001,Alpha,2022-07-10,1.4,Transit,Marginal,False,Technical
220,AC-001,Alpha,2022-07-11,1.0,Transit,Marginal,False,Other
221,AC-001,Alpha,2022-07-13,1.4,Training,Poor,False,Weather
222,AC-001,Alpha,2022-07-14,1.3,Reconnaissance,Poor,False,Weather
223,AC-001,Alpha,2022-07-17,2.6,Operational,Clear,True,
224,AC-001,Alpha,2022-07-18,3.5,Reconnaissance,Clear,True,
225,AC-001,Alpha,2022-07-20,0.3,Training,Marginal,False,Technical
226,AC-001,Alpha,2022-07-23,2.0,Training,Clear,True,
227,AC-001,Alpha,2022-07-27,1.0,Operational,Clear,False,Technical
228,AC-001,Alpha,2022-07-29,2.6,Transit,Poor,True,
229,AC-001,Alpha,2022-07-30,1.7,Training,Clear,True,
230,AC-001,Alpha,2022-08-01,1.2,Reconnaissance,Clear,False,Technical
231,AC-001,Alpha,2022-08-05,0.5,Operational,Clear,False,Technical
232,AC-001,Alpha,2022-08-06,1.6,Training,Marginal,False,Weather
233,AC-001,Alpha,2022-08-07,2.5,Operational,Clear,True,
234,AC-001,Alpha,2022-08-09,5.7,Operational,Clear,True,
235,AC-001,Alpha,2022-08-10,2.5,Operational,Marginal,True,
236,AC-001,Alpha,2022-08-11,4.1,Training,Clear,True,
237,AC-001,Alpha,2022-08-13,3.3,Operational,Marginal,True,
238,AC-001,Alpha,2022-08-14,1.7,Transit,Clear,True,
239,AC-001,Alpha,2022-08-17,2.1,Operational,Clear,True,
240,AC-001,Alpha,2022-08-18,3.5,Operational,Poor,True,
241,AC-001,Alpha,2022-08-19,2.9,Training,Clear,True,
242,AC-001,Alpha,2022-08-20,2.6,Training,Clear,True,
243,AC-001,Alpha,2022-08-22,3.3,Training,Clear,True,
244,AC-001,Alpha,2022-08-24,1.1,Reconnaissance,Marginal,True,
245,AC-001,Alpha,2022-08-25,0.8,Training,Clear,False,Other
246,AC-001,Alpha,2022-08-29,3.9,Reconnaissance,Clear,True,
247,AC-001,Alpha,2022-09-03,3.8,Operational,Clear,True,
248,AC-001,Alpha,2022-09-05,2.6,Training,Marginal,True,
249,AC-001,Alpha,2022-09-06,0.1,Training,Marginal,False,Technical
250,AC-001,Alpha,2022-09-07,2.9,Operational,Clear,True,
251,AC-001,Alpha,2022-09-08,4.3,Training,Clear,True,
252,AC-001,Alpha,2022-09-10,0.7,Training,Clear,False,Weather
253,AC-001,Alpha,2022-09-13,2.5,Operational,Clear,True,
254,AC-001,Alpha,2022-09-15,4.8,Operational,Clear,True,
255,AC-001,Alpha,2022-09-16,3.3,Operational,Clear,True,
256,AC-001,Alpha,2022-09-22,0.8,Operational,Clear,True,
257,AC-001,Alpha,2022-09-23,0.5,Training,Clear,False,Other
258,AC-001,Alpha,2022-09-25,1.5,Transit,Poor,False,Other
259,AC-001,Alpha,2022-09-28,0.5,Operational,Marginal,True,
260,AC-001,Alpha,2022-09-30,1.3,Training,Marginal,False,Weather
261,AC-001,Alpha,2022-10-05,2.3,Operational,Clear,True,
262,AC-001,Alpha,2022-10-06,1.9,Training,Marginal,True,
263,AC-001,Alpha,2022-10-09,2.8,Transit,Marginal,True,
264,AC-001,Alpha,2022-10-12,3.5,Reconnaissance,Clear,True,
265,AC-001,Alpha,2022-10-19,2.9,Operational,Marginal,True,
266,AC-001,Alpha,2022-10-21,2.7,Training,Clear,True,
267,AC-001,Alpha,2022-10-23,1.7,Operational,Clear,True,
268,AC-001,Alpha,2022-10-24,3.7,Training,Clear,True,
269,AC-001,Alpha,2022-10-29,2.3,Training,Clear,True,
270,AC-001,Alpha,2022-11-01,1.7,Reconnaissance,Clear,False,Technical
271,AC-001,Alpha,2022-11-03,3.5,Operational,Clear,True,
272,AC-001,Alpha,2022-11-05,3.9,Reconnaissance,Clear,True,
273,AC-001,Alpha,2022-11-08,3.4,Transit,Clear,True,
274,AC-001,Alpha,2022-11-09,1.0,Transit,Clear,False,Technical
275,AC-001,Alpha,2022-11-12,0.6,Training,Marginal,False,Weather
276,AC-001,Alpha,2022-11-13,2.7,Training,Clear,True,
277,AC-001,Alpha,2022-11-15,5.3,Training,Clear,True,
278,AC-001,Alpha,2022-11-19,0.8,Training,Poor,False,Weather
279,AC-001,Alpha,2022-11-21,0.6,Transit,Marginal,False,Technical
280,AC-001,Alpha,2022-11-23,3.0,Operational,Clear,True,
281,AC-001,Alpha,2022-11-24,2.8,Training,Poor,True,
282,AC-001,Alpha,2022-11-25,2.6,Training,Clear,True,
283,AC-001,Alpha,2022-11-30,1.0,Training,Clear,False,Other
284,AC-001,Alpha,2022-12-12,0.5,Reconnaissance,Poor,False,Weather
285,AC-001,Alpha,2022-12-16,3.7,Training,Clear,True,
286,AC-001,Alpha,2022-12-17,3.3,Training,Clear,True,
287,AC-001,Alpha,2022-12-23,5.6,Training,Clear,True,
288,AC-001,Alpha,2022-12-26,1.1,Reconnaissance,Poor,False,Weather
289,AC-001,Alpha,2022-12-27,1.0,Operational,Marginal,False,Weather
290,AC-001,Alpha,2022-12-29,2.8,Reconnaissance,Clear,True,
291,AC-001,Alpha,2022-12-30,0.5,Training,Marginal,False,Weather
292,AC-001,Alpha,2023-01-03,1.8,Transit,Clear,False,Technical
293,AC-001,Alpha,2023-01-04,2.4,Transit,Clear,True,
294,AC-001,Alpha,2023-01-08,3.7,Training,Marginal,True,
295,AC-001,Alpha,2023-01-09,3.5,Training,Marginal,True,
296,AC-001,Alpha,2023-01-13,3.8,Training,Clear,True,
297,AC-001,Alpha,2023-01-14,3.4,Training,Clear,True,
298,AC-001,Alpha,2023-01-15,2.3,Training,Clear,True,
299,AC-001,Alpha,2023-01-23,4.3,Operational,Clear,True,
300,AC-001,Alpha,2023-01-24,3.2,Training,Clear,True,
301,AC-001,Alpha,2023-02-01,5.6,Training,Clear,True,
302,AC-001,Alpha,2023-02-03,2.2,Operational,Clear,True,
303,AC-001,Alpha,2023-02-06,2.3,Transit,Clear,True,
304,AC-001,Alpha,2023-02-09,1.3,Training,Marginal,False,Other
305,AC-001,Alpha,2023-02-19,3.7,Training,Clear,True,
306,AC-001,Alpha,2023-02-20,2.7,Operational,Marginal,True,
307,AC-001,Alpha,2023-02-21,0.6,Training,Clear,False,Technical
308,AC-001,Alpha,2023-02-27,4.0,Operational,Clear,True,
309,AC-001,Alpha,2023-03-01,4.5,Training,Clear,True,
310,AC-001,Alpha,2023-03-03,2.6,Reconnaissance,Marginal,True,
311,AC-001,Alpha,2023-03-04,2.7,Training,Marginal,True,
312,AC-001,Alpha,2023-03-09,1.8,Training,Marginal,False,Technical
313,AC-001,Alpha,2023-03-10,2.9,Training,Clear,True,
314,AC-001,Alpha,2023-03-13,0.8,Training,Clear,True,
315,AC-001,Alpha,2023-03-14,1.5,Reconnaissance,Marginal,True,
316,AC-001,Alpha,2023-03-15,6.2,Reconnaissance,Clear,True,
317,AC-001,Alpha,2023-03-17,0.9,Reconnaissance,Clear,True,
318,AC-001,Alpha,2023-03-20,4.0,Training,Clear,True,
319,AC-001,Alpha,2023-03-25,2.2,Training,Clear,False,Technical
320,AC-001,Alpha,2023-03-29,0.4,Operational,Clear,False,Technical
321,AC-001,Alpha,2023-03-31,1.5,Operational,Poor,False,Technical
322,AC-001,Alpha,2023-04-04,0.6,Transit,Marginal,False,Weather
323,AC-001,Alpha,2023-04-06,2.2,Operational,Clear,True,
324,AC-001,Alpha,2023-04-07,3.8,Operational,Clear,True,
325,AC-001,Alpha,2023-04-14,0.6,Operational,Clear,True,
326,AC-001,Alpha,2023-04-15,0.5,Training,Clear,False,Technical
327,AC-001,Alpha,2023-04-16,1.2,Reconnaissance,Clear,True,
328,AC-001,Alpha,2023-04-17,4.4,Training,Clear,True,
329,AC-001,Alpha,2023-04-19,1.8,Training,Clear,False,Technical
330,AC-001,Alpha,2023-04-21,3.5,Transit,Clear,True,
331,AC-001,Alpha,2023-04-26,1.2,Operational,Marginal,False,Other
332,AC-001,Alpha,2023-04-27,2.3,Transit,Clear,True,
333,AC-001,Alpha,2023-04-29,1.1,Training,Clear,True,
334,AC-001,Alpha,2023-05-01,2.3,Operational,Clear,True,
335,AC-001,Alpha,2023-05-03,1.2,Transit,Clear,False,Other
336,AC-001,Alpha,2023-05-08,3.4,Operational,Poor,True,
337,AC-001,Alpha,2023-05-09,4.1,Operational,Clear,True,
338,AC-001,Alpha,2023-05-10,4.1,Training,Clear,True,
339,AC-001,Alpha,2023-05-11,5.6,Operational,Clear,True,
340,AC-001,Alpha,2023-05-13,3.5,Training,Marginal,True,
341,AC-001,Alpha,2023-05-14,4.9,Operational,Clear,True,
342,AC-001,Alpha,2023-05-16,1.1,Training,Clear,False,Weather
343,AC-001,Alpha,2023-05-23,1.2,Training,Poor,True,
344,AC-001,Alpha,2023-05-24,4.4,Training,Clear,True,
345,AC-001,Alpha,2023-05-25,3.4,Reconnaissance,Clear,True,
346,AC-001,Alpha,2023-05-26,1.4,Transit,Clear,True,
347,AC-001,Alpha,2023-05-29,3.1,Operational,Marginal,True,
348,AC-001,Alpha,2023-05-30,3.7,Training,Clear,True,
349,AC-001,Alpha,2023-06-02,0.9,Training,Marginal,True,
350,AC-001,Alpha,2023-06-08,0.7,Operational,Poor,False,Weather
351,AC-001,Alpha,2023-06-09,3.4,Operational,Clear,True,
352,AC-001,Alpha,2023-06-11,4.7,Training,Clear,True,
353,AC-001,Alpha,2023-06-16,1.8,Operational,Marginal,False,Technical
354,AC-001,Alpha,2023-06-17,0.7,Operational,Marginal,False,Weather
355,AC-001,Alpha,2023-06-18,3.1,Reconnaissance,Clear,True,
356,AC-001,Alpha,2023-06-19,3.0,Reconnaissance,Clear,True,
357,AC-001,Alpha,2023-06-21,2.8,Training,Clear,True,
358,AC-001,Alpha,2023-06-23,5.0,Reconnaissance,Clear,True,
359,AC-001,Alpha,2023-06-26,4.7,Training,Clear,True,
360,AC-001,Alpha,2023-06-28,1.4,Transit,Clear,False,Other
361,AC-001,Alpha,2023-06-29,0.9,Training,Marginal,False,Technical
362,AC-001,Alpha,2023-06-30,0.8,Operational,Marginal,False,Weather
363,AC-001,Alpha,2023-07-03,4.6,Training,Clear,True,
364,AC-001,Alpha,2023-07-04,0.5,Training,Poor,False,Technical
365,AC-001,Alpha,2023-07-05,2.7,Operational,Clear,True,
366,AC-001,Alpha,2023-07-06,2.5,Training,Marginal,True,
367,AC-001,Alpha,2023-07-07,2.9,Operational,Clear,True,
368,AC-001,Alpha,2023-07-10,3.0,Training,Marginal,True,
369,AC-001,Alpha,2023-07-12,2.9,Operational,Clear,True,
370,AC-001,Alpha,2023-07-15,1.5,Reconnaissance,Marginal,False,Technical
371,AC-001,Alpha,2023-07-18,4.5,Training,Clear,True,
372,AC-001,Alpha,2023-07-22,1.4,Reconnaissance,Marginal,False,Weather
373,AC-001,Alpha,2023-07-23,4.3,Training,Clear,True,
374,AC-001,Alpha,2023-07-25,2.6,Operational,Clear,True,
375,AC-001,Alpha,2023-07-27,0.6,Training,Marginal,False,Technical
376,AC-001,Alpha,2023-07-29,5.9,Reconnaissance,Marginal,True,
377,AC-001,Alpha,2023-07-30,1.2,Training,Clear,True,
378,AC-001,Alpha,2023-08-01,4.0,Training,Clear,True,
379,AC-001,Alpha,2023-08-02,4.4,Training,Clear,True,
380,AC-001,Alpha,2023-08-04,0.7,Training,Marginal,False,Technical
381,AC-001,Alpha,2023-08-05,5.1,Operational,Marginal,True,
382,AC-001,Alpha,2023-08-06,0.7,Operational,Marginal,False,Weather
383,AC-001,Alpha,2023-08-07,2.1,Training,Marginal,True,
384,AC-001,Alpha,2023-08-08,0.9,Training,Clear,False,Technical
385,AC-001,Alpha,2023-08-09,0.8,Training,Marginal,False,Technical
386,AC-001,Alpha,2023-08-11,3.8,Operational,Clear,True,
387,AC-001,Alpha,2023-08-12,0.7,Training,Clear,False,Weather
388,AC-001,Alpha,2023-08-13,2.6,Training,Clear,True,
389,AC-001,Alpha,2023-08-14,3.2,Operational,Clear,True,
390,AC-001,Alpha,2023-08-15,4.1,Training,Clear,True,
391,AC-001,Alpha,2023-08-16,3.2,Training,Poor,True,
392,AC-001,Alpha,2023-08-21,1.0,Training,Poor,False,Weather
393,AC-001,Alpha,2023-08-22,1.4,Training,Poor,False,Weather
394,AC-001,Alpha,2023-08-25,4.3,Operational,Clear,True,
