exam_id,crew_id,unit,exam_date,exam_type,score,result
82,CR-023,Charlie,2021-05-15,Recurrent,100.0,Pass
83,CR-023,Charlie,2022-01-27,Recurrent,87.4,Pass
84,CR-024,Delta,2022-05-02,Recurrent,74.7,Pass
85,CR-024,Delta,2021-04-16,Recurrent,80.4,Pass
86,CR-024,Delta,2021-05-17,Recurrent,78.4,Pass
87,CR-024,Delta,2023-06-30,Recurrent,84.8,Pass
88,CR-025,Echo,2024-10-23,Recurrent,73.6,Pass
89,CR-025,Echo,2025-03-22,Initial,66.1,Fail
90,CR-025,Echo,2024-10-01,Recurrent,62.4,Fail
91,CR-025,Echo,2024-02-09,Recurrent,88.2,Pass
92,CR-026,Alpha,2024-06-09,Recurrent,70.0,Fail
93,CR-026,Alpha,2022-02-22,Recurrent,80.6,Pass
94,CR-026,Alpha,2023-08-27,Recurrent,78.3,Pass
95,CR-027,Bravo,2023-11-22,Recurrent,88.5,Pass
96,CR-027,Bravo,2023-03-11,Recurrent,84.5,Pass
97,CR-027,Bravo,2022-05-17,Recurrent,80.5,Pass
98,CR-027,Bravo,2022-01-31,Recurrent,100.0,Pass
99,CR-028,Charlie,2024-07-24,Recurrent,81.9,Pass
100,CR-028,Charlie,2025-12-11,Recurrent,65.4,Fail
101,CR-029,Delta,2025-08-16,Recurrent,85.2,Pass
102,CR-029,Delta,2021-08-29,Recurrent,78.8,Pass
103,CR-029,Delta,2022-04-05,Initial,70.7,Pass
104,CR-029,Delta,2022-03-12,Recurrent,62.3,Fail
105,CR-029,Delta,2025-08-14,Initial,93.3,Pass
106,CR-030,Echo,2021-06-29,Initial,99.7,Pass
107,CR-030,Echo,2021-01-15,Recurrent,82.2,Pass
108,CR-030,Echo,2024-10-05,Initial,80.7,Pass
109,CR-030,Echo,2023-06-03,Initial,82.7,Pass
110,CR-031,Alpha,2021-09-25,Recurrent,68.5,Fail
111,CR-031,Alpha,2022-07-14,Recurrent,75.5,Pass
112,CR-031,Alpha,2025-10-19,Recurrent,92.4,Pass
113,CR-031,Alpha,2023-10-03,Recurrent,68.0,Fail
114,CR-032,Bravo,2025-12-22,Recurrent,64.0,Fail
115,CR-032,Bravo,2025-02-03,Recurrent,76.6,Pass
116,CR-032,Bravo,2024-09-09,Initial,77.7,Pass
117,CR-032,Bravo,2025-09-28,Recurrent,87.1,Pass
118,CR-032,Bravo,2024-02-22,Recurrent,82.2,Pass
119,CR-032,Bravo,2022-09-01,Recurrent,86.0,Pass
120,CR-033,Charlie,2023-01-11,Recurrent,76.9,Pass
121,CR-033,Charlie,2022-03-07,Recurrent,88.8,Pass
122,CR-034,Delta,2023-09-30,Recurrent,73.4,Pass
123,CR-034,Delta,2021-09-30,Recurrent,85.7,Pass
124,CR-034,Delta,2023-03-30,Initial,86.3,Pass
125,CR-035,Echo,2024-06-25,Initial,85.0,Pass
126,CR-035,Echo,2021-09-27,Initial,74.0,Pass
127,CR-035,Echo,2021-08-27,Initial,92.9,Pass
128,CR-036,Alpha,2021-06-21,Recurrent,85.3,Pass
129,CR-036,Alpha,2021-08-09,Recurrent,78.5,Pass
130,CR-036,Alpha,2021-07-14,Recurrent,91.2,Pass
131,CR-036,Alpha,2025-02-02,Recurrent,89.8,Pass
132,CR-036,Alpha,2021-03-03,Recurrent,82.1,Pass
133,CR-037,Bravo,2022-07-26,Initial,79.6,Pass
134,CR-037,Bravo,2023-08-01,Recurrent,91.5,Pass
135,CR-038,Charlie,2024-04-15,Recurrent,100.0,Pass
136,CR-038,Charlie,2024-11-27,Initial,79.8,Pass
137,CR-039,Delta,2022-08-20,Recurrent,89.3,Pass
138,CR-039,Delta,2021-04-04,Initial,79.8,Pass
139,CR-039,Delta,2021-12-27,Initial,73.8,Pass
140,CR-039,Delta,2023-04-06,Recurrent,85.7,Pass
141,CR-040,Echo,2022-12-01,Recurrent,90.9,Pass
142,CR-040,Echo,2022-06-29,Recurrent,78.4,Pass
143,CR-041,Alpha,2023-12-15,Initial,81.7,Pass
144,CR-041,Alpha,2021-10-31,Recurrent,95.6,Pass
145,CR-041,Alpha,2023-02-27,Recurrent,96.4,Pass
146,CR-042,Bravo,2021-10-10,Initial,74.3,Pass
147,CR-042,Bravo,2022-05-29,Recurrent,84.1,Pass
148,CR-043,Charlie,2021-09-09,Recurrent,80.7,Pass
149,CR-043,Charlie,2023-09-08,Initial,77.9,Pass
150,CR-043,Charlie,2021-09-03,Recurrent,68.3,Fail
151,CR-043,Charlie,2024-08-29,Initial,77.0,Pass
152,CR-044,Delta,2022-01-24,Initial,87.2,Pass
153,CR-044,Delta,2025-04-11,Initial,100.0,Pass
154,CR-044,Delta,2022-09-25,Recurrent,91.6,Pass
155,CR-044,Delta,2022-02-22,Recurrent,90.4,Pass
156,CR-045,Echo,2021-02-27,Recurrent,85.1,Pass
157,CR-045,Echo,2022-12-19,Recurrent,78.9,Pass
158,CR-045,Echo,2022-12-13,Recurrent,74.8,Pass
159,CR-045,Echo,2024-11-28,Initial,75.6,Pass
160,CR-046,Alpha,2021-10-24,Recurrent,94.8,Pass
161,CR-046,Alpha,2022-09-18,Recurrent,92.4,Pass
162,CR-046,Alpha,2025-11-28,Recurrent,96.1,Pass
163,CR-047,Bravo,2021-03-21,Recurrent,72.5,Pass
164,CR-047,Bravo,2024-03-13,Recurrent,67.2,Fail
165,CR-047,Bravo,2024-12-05,Recurrent,92.6,Pass
166,CR-047,Bravo,2023-05-21,Recurrent,77.8,Pass
167,CR-047,Bravo,2024-05-09,Recurrent,76.5,Pass
168,CR-048,Charlie,2022-01-27,Recurrent,90.5,Pass
169,CR-048,Charlie,2022-05-25,Initial,100.0,Pass
170,CR-048,Charlie,2021-05-21,Recurrent,81.7,Pass
171,CR-048,Charlie,2021-07-26,Initial,85.0,Pass
172,CR-048,Charlie,2023-04-21,Recurrent,82.0,Pass
173,CR-049,Delta,2023-11-30,Recurrent,92.1,Pass
174,CR-049,Delta,2022-04-19,Initial,82.8,Pass
175,CR-049,Delta,2022-05-25,Recurrent,100.0,Pass
176,CR-049,Delta,2023-06-12,Initial,80.7,Pass
177,CR-049,Delta,2025-02-13,Initial,70.2,Pass
178,CR-050,Echo,2025-12-16,Recurrent,79.9,Pass
179,CR-050,Echo,2024-01-28,Recurrent,73.3,Pass
180,CR-050,Echo,2025-02-18,Recurrent,85.0,Pass
181,CR-050,Echo,2025-05-19,Recurrent,85.1,Pass
182,CR-051,Alpha,2022-05-23,Recurrent,91.7,Pass
183,CR-051,Alpha,2023-07-06,Recurrent,87.0,Pass
184,CR-052,Bravo,2025-08-03,Recurrent,86.5,Pass
185,CR-052,Bravo,2024-11-25,Initial,71.5,Pass
186,CR-052,Bravo,2022-11-07,Recurrent,82.4,Pass
187,CR-052,Bravo,2024-08-12,Recurrent,94.5,Pass
188,CR-053,Charlie,2021-05-30,Recurrent,86.2,Pass
189,CR-053,Charlie,2025-05-02,Recurrent,66.9,Fail
190,CR-054,Delta,2022-03-12,Recurrent,75.1,Pass
191,CR-054,Delta,2022-03-02,Recurrent,70.9,Pass
192,CR-054,Delta,2023-07-23,Recurrent,70.3,Pass
193,CR-054,Delta,2024-04-17,Recurrent,72.4,Pass
194,CR-055,Echo,2021-04-21,Recurrent,83.0,Pass
195,CR-055,Echo,2024-05-04,Recurrent,79.9,Pass
196,CR-056,Alpha,2021-04-24,Recurrent,100.0,Pass
197,CR-056,Alpha,2025-01-22,Recurrent,97.9,Pass
198,CR-057,Bravo,2025-06-04,Recurrent,95.3,Pass
199,CR-057,Bravo,2022-10-29,Recurrent,70.0,Fail
200,CR-057,Bravo,2021-11-07,Recurrent,66.6,Fail
201,CR-058,Charlie,2024-10-13,Recurrent,67.0,Fail
202,CR-058,Charlie,2025-06-17,Initial,80.4,Pass
203,CR-058,Charlie,2024-10-13,Initial,76.1,Pass
204,CR-058,Charlie,2023-10-01,Recurrent,83.1,Pass
205,CR-058,Charlie,2024-12-24,Recurrent,92.3,Pass
206,CR-058,Charlie,2021-03-18,Recurrent,99.7,Pass
207,CR-059,Delta,2021-10-14,Initial,97.3,Pass
208,CR-059,Delta,2025-03-08,Recurrent,78.4,Pass
209,CR-059,Delta,2023-05-24,Recurrent,70.7,Pass
210,CR-059,Delta,2023-03-15,Initial,74.1,Pass
211,CR-059,Delta,2024-10-21,Recurrent,88.7,Pass
212,CR-059,Delta,2023-10-21,Initial,80.3,Pass
213,CR-060,Echo,2022-04-20,Recurrent,90.0,Pass
214,CR-060,Echo,2021-04-03,Recurrent,78.9,Pass
215,CR-061,Alpha,2025-03-25,Recurrent,66.3,Fail
216,CR-061,Alpha,2025-10-20,Initial,82.0,Pass
217,CR-062,Bravo,2025-05-24,Recurrent,82.9,Pass
218,CR-062,Bravo,2025-12-04,Recurrent,69.7,Fail
219,CR-062,Bravo,2025-05-10,Initial,84.9,Pass
220,CR-063,Charlie,2021-05-02,Recurrent,89.0,Pass
221,CR-063,Charlie,2021-09-10,Initial,90.4,Pass
222,CR-063,Charlie,2024-09-15,Recurrent,79.0,Pass
223,CR-063,Charlie,2024-04-29,Initial,88.4,Pass
224,CR-063,Charlie,2022-06-18,Recurrent,86.6,Pass
225,CR-064,Delta,2022-10-29,Recurrent,74.5,Pass
226,CR-064,Delta,2025-12-22,Recurrent,74.5,Pass
227,CR-064,Delta,2024-12-31,Initial,71.8,Pass
228,CR-064,Delta,2025-06-25,Recurrent,58.3,Fail
229,CR-064,Delta,2022-12-06,Recurrent,88.3,Pass
230,CR-064,Delta,2021-04-24,Recurrent,100.0,Pass
231,CR-065,Echo,2024-06-18,Initial,80.2,Pass
232,CR-065,Echo,2023-07-23,Initial,82.6,Pass
233,CR-065,Echo,2022-11-12,Recurrent,76.7,Pass
234,CR-065,Echo,2024-02-18,Recurrent,68.8,Fail
235,CR-066,Alpha,2024-01-26,Recurrent,81.2,Pass
236,CR-066,Alpha,2022-06-22,Initial,87.8,Pass
237,CR-066,Alpha,2024-07-17,Initial,79.9,Pass
238,CR-066,Alpha,2025-02-15,Recurrent,97.4,Pass
239,CR-066,Alpha,2022-03-11,Recurrent,84.5,Pass
240,CR-066,Alpha,2023-07-28,Recurrent,95.0,Pass
241,CR-067,Bravo,2024-06-03,Recurrent,73.2,Pass
242,CR-067,Bravo,2021-04-01,Recurrent,73.6,Pass
243,CR-068,Charlie,2021-04-23,Recurrent,89.8,Pass
244,CR-068,Charlie,2022-08-19,Recurrent,83.6,Pass
245,CR-068,Charlie,2022-02-09,Initial,73.0,Pass
246,CR-068,Charlie,2022-09-11,Recurrent,97.2,Pass
247,CR-069,Delta,2025-10-30,Initial,82.4,Pass
248,CR-069,Delta,2025-03-18,Recurrent,85.0,Pass
249,CR-069,Delta,2025-09-02,Recurrent,85.3,Pass
250,CR-069,Delta,2022-10-02,Recurrent,84.7,Pass
251,CR-069,Delta,2022-10-07,Initial,58.8,Fail
252,CR-069,Delta,2025-08-25,Recurrent,92.9,Pass
253,CR-070,Echo,2023-11-26,Recurrent,67.9,Fail
254,CR-070,Echo,2024-11-14,Recurrent,87.2,Pass
255,CR-070,Echo,2024-07-29,Recurrent,59.6,Fail
256,CR-071,Alpha,2021-06-05,Recurrent,65.0,Fail
257,CR-071,Alpha,2024-01-20,Recurrent,66.6,Fail
258,CR-071,Alpha,2024-08-02,Recurrent,81.8,Pass
259,CR-071,Alpha,2024-06-28,Recurrent,78.2,Pass
260,CR-071,Alpha,2022-07-02,Recurrent,67.6,Fail
261,CR-072,Bravo,2023-12-02,Recurrent,76.5,Pass
262,CR-072,Bravo,2021-03-01,Recurrent,78.3,Pass
263,CR-073,Charlie,2025-11-30,Recurrent,90.4,Pass
264,CR-073,Charlie,2022-03-18,Recurrent,81.9,Pass
265,CR-073,Charlie,2021-02-04,Recurrent,62.9,Fail
266,CR-073,Charlie,2024-05-10,Recurrent,76.3,Pass
267,CR-074,Delta,2021-10-24,Initial,83.2,Pass
268,CR-074,Delta,2024-04-27,Recurrent,80.1,Pass
269,CR-075,Echo,2023-01-22,Initial,100.0,Pass
270,CR-075,Echo,2022-09-15,Recurrent,81.9,Pass
271,CR-075,Echo,2021-03-23,Recurrent,93.5,Pass
272,CR-075,Echo,2022-09-18,Recurrent,78.7,Pass
273,CR-076,Alpha,2023-05-04,Initial,91.5,Pass
274,CR-076,Alpha,2021-08-02,Recurrent,77.1,Pass
275,CR-076,Alpha,2025-02-14,Initial,84.1,Pass
276,CR-077,Bravo,2021-11-15,Recurrent,83.1,Pass
277,CR-077,Bravo,2021-10-29,Initial,81.0,Pass
278,CR-077,Bravo,2024-03-23,Recurrent,76.4,Pass
279,CR-077,Bravo,2024-12-07,Recurrent,99.8,Pass
280,CR-077,Bravo,2022-12-23,Recurrent,86.9,Pass
281,CR-078,Charlie,2023-02-23,Recurrent,86.9,Pass
282,CR-078,Charlie,2022-12-11,Recurrent,75.3,Pass
283,CR-078,Charlie,2024-02-27,Recurrent,82.3,Pass
284,CR-078,Charlie,2022-09-21,Recurrent,78.7,Pass
285,CR-079,Delta,2022-10-03,Initial,90.0,Pass
286,CR-079,Delta,2022-04-11,Recurrent,76.1,Pass
287,CR-080,Echo,2023-02-28,Recurrent,87.7,Pass
288,CR-080,Echo,2022-12-22,Recurrent,93.5,Pass
289,CR-080,Echo,2025-11-27,Recurrent,79.3,Pass
290,CR-081,Alpha,2021-10-05,Recurrent,83.6,Pass
291,CR-081,Alpha,2021-03-23,Recurrent,75.5,Pass
292,CR-082,Bravo,2022-01-03,Recurrent,81.1,Pass
293,CR-082,Bravo,2022-05-03,Recurrent,76.9,Pass
294,CR-082,Bravo,2021-01-17,Recurrent,87.2,Pass
295,CR-083,Charlie,2025-11-08,Recurrent,79.1,Pass
296,CR-083,Charlie,2022-04-24,Recurrent,80.4,Pass
297,CR-083,Charlie,2022-10-21,Recurrent,89.4,Pass
298,CR-083,Charlie,2021-03-30,Initial,82.1,Pass
299,CR-083,Charlie,2022-09-28,Recurrent,76.3,Pass
300,CR-084,Delta,2025-11-15,Recurrent,85.0,Pass
301,CR-084,Delta,2022-03-19,Recurrent,84.1,Pass
302,CR-084,Delta,2023-04-14,Initial,80.6,Pass
303,CR-084,Delta,2024-03-15,Recurrent,79.3,Pass
304,CR-085,Echo,2024-11-27,Recurrent,99.0,Pass
305,CR-085,Echo,2025-11-14,Initial,84.5,Pass
306,CR-085,Echo,2021-03-07,Recurrent,88.6,Pass
307,CR-085,Echo,2025-09-26,Initial,79.7,Pass
308,CR-085,Echo,2024-06-14,Recurrent,92.1,Pass
309,CR-085,Echo,2024-05-05,Initial,86.0,Pass
310,CR-086,Alpha,2021-05-30,Initial,67.8,Fail
311,CR-086,Alpha,2025-03-30,Recurrent,89.4,Pass
312,CR-086,Alpha,2023-10-12,Recurrent,92.8,Pass
313,CR-086,Alpha,2025-05-12,Initial,76.9,Pass
314,CR-086,Alpha,2024-12-15,Recurrent,84.6,Pass
315,CR-087,Bravo,2021-09-29,Recurrent,81.9,Pass
316,CR-087,Bravo,2024-09-18,Recurrent,90.1,Pass
317,CR-087,Bravo,2024-05-02,Recurrent,78.5,Pass
318,CR-087,Bravo,2022-11-09,Recurrent,73.7,Pass
319,CR-088,Charlie,2023-09-26,Initial,92.2,Pass
320,CR-088,Charlie,2023-07-08,Recurrent,100.0,Pass
321,CR-088,Charlie,2023-07-05,Initial,73.9,Pass
322,CR-088,Charlie,2025-05-17,Initial,71.3,Pass
323,CR-089,Delta,2021-11-03,Initial,79.7,Pass
324,CR-089,Delta,2023-08-25,Recurrent,95.8,Pass
325,CR-089,Delta,2021-06-23,Recurrent,83.7,Pass
326,CR-089,Delta,2023-02-08,Initial,74.9,Pass
327,CR-089,Delta,2023-09-01,Recurrent,82.3,Pass
328,CR-090,Echo,2024-08-10,Recurrent,83.4,Pass
329,CR-090,Echo,2024-06-07,Recurrent,92.0,Pass
330,CR-090,Echo,2025-05-18,Recurrent,70.0,Pass
331,CR-090,Echo,2025-07-11,Recurrent,64.3,Fail
332,CR-090,Echo,2022-12-20,Recurrent,88.7,Pass
333,CR-090,Echo,2023-11-24,Initial,76.2,Pass
334,CR-091,Alpha,2023-04-17,Initial,85.2,Pass
335,CR-091,Alpha,2023-07-27,Recurrent,74.9,Pass
336,CR-091,Alpha,2024-05-26,Recurrent,88.8,Pass
337,CR-091,Alpha,2024-10-20,Recurrent,90.7,Pass
338,CR-092,Bravo,2021-05-14,Recurrent,53.9,Fail
339,CR-092,Bravo,2023-12-08,Recurrent,79.8,Pass
340,CR-092,Bravo,2022-06-07,Recurrent,78.5,Pass
341,CR-092,Bravo,2022-07-06,Recurrent,70.9,Pass
342,CR-093,Charlie,2022-02-18,Initial,71.5,Pass
343,CR-093,Charlie,2025-08-05,Recurrent,75.4,Pass
344,CR-093,Charlie,2024-05-10,Recurrent,80.7,Pass
345,CR-094,Delta,2021-01-31,Recurrent,89.8,Pass
346,CR-094,Delta,2022-04-20,Recurrent,74.8,Pass
347,CR-095,Echo,2022-06-26,Initial,88.4,Pass
348,CR-095,Echo,2025-10-18,Initial,82.4,Pass
349,CR-095,Echo,2022-05-31,Initial,79.0,Pass
350,CR-096,Alpha,2024-05-29,Recurrent,80.5,Pass
351,CR-096,Alpha,2025-03-20,Initial,69.6,Fail
352,CR-097,Bravo,2024-01-28,Recurrent,76.0,Pass
353,CR-097,Bravo,2022-11-12,Initial,91.2,Pass
354,CR-097,Bravo,2024-02-24,Recurrent,82.0,Pass
355,CR-098,Charlie,2024-01-18,Recurrent,96.8,Pass
356,CR-098,Charlie,2023-01-09,Recurrent,85.4,Pass
357,CR-098,Charlie,2022-12-02,Recurrent,82.0,Pass
358,CR-098,Charlie,2025-04-06,Recurrent,97.0,Pass
359,CR-098,Charlie,2025-07-20,Recurrent,88.7,Pass
360,CR-099,Delta,2024-02-03,Recurrent,82.3,Pass
361,CR-099,Delta,2025-04-19,Recurrent,100.0,Pass
362,CR-099,Delta,2025-11-18,Initial,94.0,Pass
363,CR-100,Echo,2023-12-22,Recurrent,69.2,Fail
364,CR-100,Echo,2024-09-27,Recurrent,84.9,Pass
365,CR-101,Alpha,2023-02-14,Recurrent,83.1,Pass
366,CR-101,Alpha,2022-12-13,Initial,86.1,Pass
367,CR-101,Alpha,2024-05-11,Recurrent,98.1,Pass
368,CR-102,Bravo,2021-07-23,Recurrent,88.9,Pass
369,CR-102,Bravo,2021-07-06,Recurrent,77.3,Pass
370,CR-102,Bravo,2022-09-07,Recurrent,79.2,Pass
371,CR-102,Bravo,2023-01-13,Recurrent,87.5,Pass
372,CR-102,Bravo,2025-02-17,Recurrent,69.5,Fail
373,CR-102,Bravo,2022-12-27,Recurrent,79.0,Pass
374,CR-103,Charlie,2022-03-01,Initial,87.0,Pass
375,CR-103,Charlie,2021-03-27,Recurrent,80.8,Pass
376,CR-103,Charlie,2021-06-12,Initial,100.0,Pass
377,CR-104,Delta,2021-07-06,Initial,74.1,Pass
378,CR-104,Delta,2025-07-05,Recurrent,99.7,Pass
379,CR-104,Delta,2025-05-05,Initial,74.1,Pass
380,CR-104,Delta,2022-08-09,Recurrent,64.7,Fail
381,CR-104,Delta,2024-11-21,Recurrent,92.2,Pass
382,CR-105,Echo,2021-04-01,Recurrent,87.0,Pass
383,CR-105,Echo,2021-07-05,Initial,82.9,Pass
384,CR-106,Alpha,2025-09-26,Recurrent,71.1,Pass
385,CR-106,Alpha,2024-03-22,Recurrent,71.4,Pass
386,CR-106,Alpha,2023-09-05,Recurrent,76.1,Pass
387,CR-106,Alpha,2022-09-28,Initial,61.8,Fail
388,CR-106,Alpha,2025-10-13,Initial,85.5,Pass
389,CR-106,Alpha,2024-09-02,Recurrent,72.0,Pass
390,CR-107,Bravo,2024-07-11,Recurrent,68.6,Fail
391,CR-107,Bravo,2024-03-29,Initial,85.1,Pass
392,CR-107,Bravo,2025-11-21,Initial,100.0,Pass
393,CR-108,Charlie,2022-06-09,Recurrent,84.2,Pass
394,CR-108,Charlie,2023-04-23,Initial,80.0,Pass
395,CR-108,Charlie,2025-09-19,Initial,85.7,Pass
396,CR-108,Charlie,2024-01-27,Recurrent,86.2,Pass
397,CR-109,Delta,2021-02-22,Initial,83.9,Pass
398,CR-109,Delta,2021-04-08,Recurrent,100.0,Pass
399,CR-109,Delta,2024-12-08,Recurrent,97.1,Pass
400,CR-110,Echo,2021-09-17,Recurrent,71.8,Pass
401,CR-110,Echo,2022-04-04,Initial,79.9,Pass
402,CR-110,Echo,2023-11-28,Recurrent,77.0,Pass
403,CR-110,Echo,2025-02-10,Initial,87.7,Pass
404,CR-110,Echo,2024-08-31,Recurrent,69.7,Fail
405,CR-110,Echo,2025-07-21,Initial,79.9,Pass
406,CR-111,Alpha,2023-09-14,Recurrent,62.5,Fail
407,CR-111,Alpha,2022-12-01,Recurrent,77.6,Pass
408,CR-111,Alpha,2021-02-01,Recurrent,84.5,Pass
409,CR-111,Alpha,2023-12-20,Recurrent,71.8,Pass
410,CR-111,Alpha,2022-09-30,Recurrent,77.1,Pass
411,CR-112,Bravo,2025-05-21,Initial,81.2,Pass
412,CR-112,Bravo,2025-09-08,Recurrent,82.4,Pass
413,CR-112,Bravo,2021-07-31,Initial,81.7,Pass
414,CR-112,Bravo,2023-10-05,Initial,87.3,Pass
415,CR-113,Charlie,2021-08-20,Recurrent,80.3,Pass
416,CR-113,Charlie,2021-08-09,Initial,86.7,Pass
417,CR-113,Charlie,2024-09-01,Recurrent,79.6,Pass
418,CR-113,Charlie,2022-10-09,Recurrent,93.0,Pass
419,CR-113,Charlie,2021-11-08,Recurrent,69.5,Fail
420,CR-114,Delta,2023-05-03,Recurrent,82.9,Pass
421,CR-114,Delta,2025-08-07,Recurrent,78.7,Pass
422,CR-115,Echo,2025-10-11,Initial,78.2,Pass
423,CR-115,Echo,2023-06-01,Initial,84.2,Pass
424,CR-115,Echo,2025-04-01,Initial,81.9,Pass
425,CR-115,Echo,2021-04-25,Recurrent,92.3,Pass
426,CR-115,Echo,2024-10-16,Recurrent,76.8,Pass
427,CR-115,Echo,2021-01-21,Initial,80.8,Pass
428,CR-116,Alpha,2024-01-22,Recurrent,85.2,Pass
429,CR-116,Alpha,2022-08-29,Initial,91.6,Pass
430,CR-116,Alpha,2023-11-16,Recurrent,100.0,Pass
431,CR-116,Alpha,2022-05-22,Initial,77.6,Pass
432,CR-116,Alpha,2024-03-25,Recurrent,100.0,Pass
433,CR-116,Alpha,2023-04-16,Recurrent,61.7,Fail
434,CR-117,Bravo,2021-06-14,Initial,96.1,Pass
