flight_id,aircraft_id,unit,flight_date,flight_hours,mission_type,weather_condition,completed,abort_reason,year,aircraft_type,acquisition_year
33,AC-001,Alpha,2021-05-01,1.0,Operational,Marginal,True,,2021,Class-II Multirole,2021
34,AC-001,Alpha,2021-05-03,1.8,Reconnaissance,Clear,True,,2021,Class-II Multirole,2021
35,AC-001,Alpha,2021-05-04,3.5,Transit,Clear,True,,2021,Class-II Multirole,2021
36,AC-001,Alpha,2021-05-07,3.4,Training,Marginal,True,,2021,Class-II Multirole,2021
37,AC-001,Alpha,2021-05-09,3.4,Training,Clear,True,,2021,Class-II Multirole,2021
38,AC-001,Alpha,2021-05-12,0.4,Training,Clear,False,Technical,2021,Class-II Multirole,2021
39,AC-001,Alpha,2021-05-13,0.4,Transit,Marginal,False,Technical,2021,Class-II Multirole,2021
40,AC-001,Alpha,2021-05-14,4.7,Operational,Clear,True,,2021,Class-II Multirole,2021
41,AC-001,Alpha,2021-05-16,1.0,Training,Marginal,False,Other,2021,Class-II Multirole,2021
42,AC-001,Alpha,2021-05-17,3.1,Training,Clear,True,,2021,Class-II Multirole,2021
43,AC-001,Alpha,2021-05-18,2.0,Training,Clear,True,,2021,Class-II Multirole,2021
44,AC-001,Alpha,2021-05-22,0.8,Training,Poor,False,Technical,2021,Class-II Multirole,2021
45,AC-001,Alpha,2021-05-23,5.3,Training,Clear,True,,2021,Class-II Multirole,2021
46,AC-001,Alpha,2021-05-24,2.3,Training,Clear,True,,2021,Class-II Multirole,2021
47,AC-001,Alpha,2021-05-26,0.9,Training,Clear,True,,2021,Class-II Multirole,2021
48,AC-001,Alpha,2021-05-27,4.4,Operational,Clear,True,,2021,Class-II Multirole,2021
49,AC-001,Alpha,2021-06-01,1.9,Operational,Marginal,True,,2021,Class-II Multirole,2021
50,AC-001,Alpha,2021-06-02,1.0,Operational,Clear,False,Technical,2021,Class-II Multirole,2021
51,AC-001,Alpha,2021-06-04,3.9,Operational,Marginal,True,,2021,Class-II Multirole,2021
52,AC-001,Alpha,2021-06-06,2.9,Training,Clear,True,,2021,Class-II Multirole,2021
53,AC-001,Alpha,2021-06-08,4.7,Reconnaissance,Marginal,True,,2021,Class-II Multirole,2021
54,AC-001,Alpha,2021-06-10,2.2,Transit,Clear,False,Technical,2021,Class-II Multirole,2021
55,AC-001,Alpha,2021-06-12,4.1,Training,Clear,True,,2021,Class-II Multirole,2021
56,AC-001,Alpha,2021-06-13,5.0,Reconnaissance,Clear,True,,2021,Class-II Multirole,2021
57,AC-001,Alpha,2021-06-16,1.4,Training,Clear,False,Technical,2021,Class-II Multirole,2021
58,AC-001,Alpha,2021-06-17,3.7,Transit,Clear,True,,2021,Class-II Multirole,2021
59,AC-001,Alpha,2021-06-18,0.6,Operational,Clear,True,,2021,Class-II Multirole,2021
60,AC-001,Alpha,2021-06-19,0.4,Operational,Marginal,False,Technical,2021,Class-II Multirole,2021
61,AC-001,Alpha,2021-06-20,3.6,Training,Clear,True,,2021,Class-II Multirole,2021
62,AC-001,Alpha,2021-06-23,2.1,Operational,Poor,True,,2021,Class-II Multirole,2021
63,AC-001,Alpha,2021-06-24,0.5,Training,Clear,False,Technical,2021,Class-II Multirole,2021
64,AC-001,Alpha,2021-06-25,2.5,Training,Clear,True,,2021,Class-II Multirole,2021
65,AC-001,Alpha,2021-06-26,3.5,Training,Clear,True,,2021,Class-II Multirole,2021
66,AC-001,Alpha,2021-06-30,0.2,Transit,Marginal,False,Technical,2021,Class-II Multirole,2021
67,AC-001,Alpha,2021-07-01,1.1,Training,Marginal,False,Other,2021,Class-II Multirole,2021
68,AC-001,Alpha,2021-07-02,2.7,Operational,Marginal,True,,2021,Class-II Multirole,2021
69,AC-001,Alpha,2021-07-03,4.1,Operational,Marginal,True,,2021,Class-II Multirole,2021
70,AC-001,Alpha,2021-07-05,1.1,Training,Marginal,False,Other,2021,Class-II Multirole,2021
71,AC-001,Alpha,2021-07-06,2.1,Training,Clear,True,,2021,Class-II Multirole,2021
72,AC-001,Alpha,2021-07-12,2.7,Operational,Clear,True,,2021,Class-II Multirole,2021
73,AC-001,Alpha,2021-07-13,0.5,Training,Marginal,False,Technical,2021,Class-II Multirole,2021
74,AC-001,Alpha,2021-07-15,1.1,Training,Marginal,True,,2021,Class-II Multirole,2021
75,AC-001,Alpha,2021-07-16,3.8,Training,Marginal,True,,2021,Class-II Multirole,2021
76,AC-001,Alpha,2021-07-20,1.3,Training,Clear,False,Technical,2021,Class-II Multirole,2021
77,AC-001,Alpha,2021-07-21,3.0,Operational,Poor,True,,2021,Class-II Multirole,2021
78,AC-001,Alpha,2021-07-22,2.2,Training,Clear,True,,2021,Class-II Multirole,2021
79,AC-001,Alpha,2021-07-23,3.2,Transit,Clear,True,,2021,Class-II Multirole,2021
80,AC-001,Alpha,2021-07-24,0.6,Training,Marginal,False,Technical,2021,Class-II Multirole,2021
81,AC-001,Alpha,2021-07-27,1.2,Training,Clear,False,Technical,2021,Class-II Multirole,2021
82,AC-001,Alpha,2021-07-30,1.1,Transit,Clear,False,Other,2021,Class-II Multirole,2021
83,AC-001,Alpha,2021-07-31,0.7,Training,Clear,False,Technical,2021,Class-II Multirole,2021
84,AC-001,Alpha,2021-08-01,2.3,Training,Poor,True,,2021,Class-II Multirole,2021
85,AC-001,Alpha,2021-08-02,4.4,Operational,Clear,True,,2021,Class-II Multirole,2021
86,AC-001,Alpha,2021-08-03,2.1,Training,Clear,True,,2021,Class-II Multirole,2021
87,AC-001,Alpha,2021-08-04,3.2,Training,Clear,True,,2021,Class-II Multirole,2021
88,AC-001,Alpha,2021-08-06,1.5,Operational,Clear,True,,2021,Class-II Multirole,2021
89,AC-001,Alpha,2021-08-09,1.6,Training,Clear,True,,2021,Class-II Multirole,2021
90,AC-001,Alpha,2021-08-10,1.9,Transit,Clear,True,,2021,Class-II Multirole,2021
91,AC-001,Alpha,2021-08-12,3.5,Training,Clear,True,,2021,Class-II Multirole,2021
92,AC-001,Alpha,2021-08-13,0.7,Training,Clear,True,,2021,Class-II Multirole,2021
93,AC-001,Alpha,2021-08-17,0.8,Operational,Marginal,False,Technical,2021,Class-II Multirole,2021
94,AC-001,Alpha,2021-08-19,1.9,Transit,Clear,False,Technical,2021,Class-II Multirole,2021
95,AC-001,Alpha,2021-08-21,3.9,Training,Clear,True,,2021,Class-II Multirole,2021
96,AC-001,Alpha,2021-08-22,1.8,Training,Clear,True,,2021,Class-II Multirole,2021
97,AC-001,Alpha,2021-08-24,3.2,Operational,Marginal,True,,2021,Class-II Multirole,2021
98,AC-001,Alpha,2021-08-26,3.1,Transit,Clear,True,,2021,Class-II Multirole,2021
99,AC-001,Alpha,2021-08-29,3.0,Reconnaissance,Marginal,True,,2021,Class-II Multirole,2021
100,AC-001,Alpha,2021-08-30,3.8,Operational,Clear,True,,2021,Class-II Multirole,2021
101,AC-001,Alpha,2021-09-01,4.3,Training,Clear,True,,2021,Class-II Multirole,2021
102,AC-001,Alpha,2021-09-04,1.2,Operational,Marginal,False,Other,2021,Class-II Multirole,2021
103,AC-001,Alpha,2021-09-05,3.5,Reconnaissance,Clear,True,,2021,Class-II Multirole,2021
104,AC-001,Alpha,2021-09-06,3.5,Training,Marginal,True,,2021,Class-II Multirole,2021
105,AC-001,Alpha,2021-09-08,3.6,Reconnaissance,Clear,True,,2021,Class-II Multirole,2021
106,AC-001,Alpha,2021-09-09,3.2,Reconnaissance,Marginal,True,,2021,Class-II Multirole,2021
107,AC-001,Alpha,2021-09-14,2.2,Reconnaissance,Poor,True,,2021,Class-II Multirole,2021
108,AC-001,Alpha,2021-09-15,5.3,Training,Marginal,True,,2021,Class-II Multirole,2021
109,AC-001,Alpha,2021-09-18,4.1,Operational,Clear,True,,2021,Class-II Multirole,2021
110,AC-001,Alpha,2021-09-21,3.5,Training,Clear,True,,2021,Class-II Multirole,2021
111,AC-001,Alpha,2021-09-22,3.9,Training,Marginal,True,,2021,Class-II Multirole,2021
112,AC-001,Alpha,2021-09-23,2.4,Reconnaissance,Marginal,True,,2021,Class-II Multirole,2021
113,AC-001,Alpha,2021-09-24,3.1,Operational,Clear,True,,2021,Class-II Multirole,2021
114,AC-001,Alpha,2021-09-25,1.1,Operational,Poor,True,,2021,Class-II Multirole,2021
115,AC-001,Alpha,2021-09-26,1.6,Reconnaissance,Clear,False,Other,2021,Class-II Multirole,2021
116,AC-001,Alpha,2021-09-28,2.7,Training,Clear,True,,2021,Class-II Multirole,2021
117,AC-001,Alpha,2021-10-02,4.4,Training,Clear,True,,2021,Class-II Multirole,2021
118,AC-001,Alpha,2021-10-09,3.0,Training,Poor,True,,2021,Class-II Multirole,2021
119,AC-001,Alpha,2021-10-10,3.6,Training,Marginal,True,,2021,Class-II Multirole,2021
120,AC-001,Alpha,2021-10-11,4.8,Reconnaissance,Marginal,True,,2021,Class-II Multirole,2021
121,AC-001,Alpha,2021-10-12,0.7,Training,Clear,False,Technical,2021,Class-II Multirole,2021
122,AC-001,Alpha,2021-10-17,1.4,Transit,Clear,False,Technical,2021,Class-II Multirole,2021
123,AC-001,Alpha,2021-10-18,1.4,Training,Clear,False,Technical,2021,Class-II Multirole,2021
124,AC-001,Alpha,2021-10-22,0.2,Reconnaissance,Poor,False,Weather,2021,Class-II Multirole,2021
125,AC-001,Alpha,2021-10-24,1.0,Reconnaissance,Clear,False,Technical,2021,Class-II Multirole,2021
126,AC-001,Alpha,2021-10-28,0.4,Training,Poor,False,Weather,2021,Class-II Multirole,2021
127,AC-001,Alpha,2021-11-09,3.9,Reconnaissance,Marginal,True,,2021,Class-II Multirole,2021
128,AC-001,Alpha,2021-11-29,2.8,Operational,Clear,True,,2021,Class-II Multirole,2021
129,AC-001,Alpha,2021-11-30,1.0,Training,Clear,False,Technical,2021,Class-II Multirole,2021
130,AC-001,Alpha,2021-12-01,3.9,Training,Clear,True,,2021,Class-II Multirole,2021
131,AC-001,Alpha,2021-12-03,2.8,Operational,Clear,True,,2021,Class-II Multirole,2021
132,AC-001,Alpha,2021-12-04,4.5,Training,Clear,True,,2021,Class-II Multirole,2021
133,AC-001,Alpha,2021-12-06,4.3,Reconnaissance,Clear,True,,2021,Class-II Multirole,2021
134,AC-001,Alpha,2021-12-14,0.9,Transit,Poor,False,Technical,2021,Class-II Multirole,2021
135,AC-001,Alpha,2021-12-18,3.3,Training,Clear,True,,2021,Class-II Multirole,2021
136,AC-001,Alpha,2021-12-20,2.5,Reconnaissance,Marginal,True,,2021,Class-II Multirole,2021
137,AC-001,Alpha,2021-12-24,0.5,Training,Marginal,False,Weather,2021,Class-II Multirole,2021
138,AC-001,Alpha,2021-12-29,0.5,Reconnaissance,Clear,False,Technical,2021,Class-II Multirole,2021
139,AC-001,Alpha,2021-12-31,3.2,Operational,Clear,True,,2021,Class-II Multirole,2021
140,AC-001,Alpha,2022-01-05,4.6,Transit,Marginal,True,,2022,Class-II Multirole,2021
141,AC-001,Alpha,2022-01-07,1.1,Training,Marginal,False,Technical,2022,Class-II Multirole,2021
142,AC-001,Alpha,2022-01-13,2.8,Training,Marginal,True,,2022,Class-II Multirole,2021
143,AC-001,Alpha,2022-01-14,0.9,Training,Clear,False,Weather,2022,Class-II Multirole,2021
144,AC-001,Alpha,2022-01-16,2.2,Reconnaissance,Clear,True,,2022,Class-II Multirole,2021
145,AC-001,Alpha,2022-01-18,1.3,Operational,Clear,False,Technical,2022,Class-II Multirole,2021
146,AC-001,Alpha,2022-01-21,4.0,Reconnaissance,Clear,True,,2022,Class-II Multirole,2021
147,AC-001,Alpha,2022-01-22,1.2,Reconnaissance,Clear,False,Technical,2022,Class-II Multirole,2021
148,AC-001,Alpha,2022-01-28,2.9,Operational,Clear,True,,2022,Class-II Multirole,2021
149,AC-001,Alpha,2022-02-02,1.1,Operational,Clear,True,,2022,Class-II Multirole,2021
150,AC-001,Alpha,2022-02-08,4.1,Training,Clear,True,,2022,Class-II Multirole,2021
151,AC-001,Alpha,2022-02-09,2.9,Training,Clear,True,,2022,Class-II Multirole,2021
152,AC-001,Alpha,2022-02-10,0.8,Operational,Marginal,False,Weather,2022,Class-II Multirole,2021
153,AC-001,Alpha,2022-02-12,2.0,Training,Marginal,True,,2022,Class-II Multirole,2021
154,AC-001,Alpha,2022-02-14,2.5,Reconnaissance,Clear,True,,2022,Class-II Multirole,2021
155,AC-001,Alpha,2022-02-15,4.2,Training,Clear,True,,2022,Class-II Multirole,2021
156,AC-001,Alpha,2022-02-18,0.7,Training,Clear,True,,2022,Class-II Multirole,2021
157,AC-001,Alpha,2022-02-24,2.6,Training,Clear,True,,2022,Class-II Multirole,2021
158,AC-001,Alpha,2022-02-26,3.3,Operational,Poor,True,,2022,Class-II Multirole,2021
159,AC-001,Alpha,2022-02-28,1.2,Training,Clear,False,Technical,2022,Class-II Multirole,2021
160,AC-001,Alpha,2022-03-16,3.3,Operational,Clear,True,,2022,Class-II Multirole,2021
161,AC-001,Alpha,2022-03-19,1.9,Transit,Marginal,False,Weather,2022,Class-II Multirole,2021
162,AC-001,Alpha,2022-03-23,3.6,Operational,Clear,True,,2022,Class-II Multirole,2021
163,AC-001,Alpha,2022-03-28,3.2,Training,Marginal,True,,2022,Class-II Multirole,2021
164,AC-001,Alpha,2022-03-30,0.9,Reconnaissance,Clear,True,,2022,Class-II Multirole,2021
165,AC-001,Alpha,2022-04-03,0.3,Reconnaissance,Clear,False,Technical,2022,Class-II Multirole,2021
166,AC-001,Alpha,2022-04-06,0.4,Training,Clear,False,Technical,2022,Class-II Multirole,2021
167,AC-001,Alpha,2022-04-07,3.6,Training,Marginal,True,,2022,Class-II Multirole,2021
168,AC-001,Alpha,2022-04-09,1.5,Training,Marginal,True,,2022,Class-II Multirole,2021
169,AC-001,Alpha,2022-04-10,3.1,Training,Clear,True,,2022,Class-II Multirole,2021
170,AC-001,Alpha,2022-04-11,0.5,Transit,Clear,False,Other,2022,Class-II Multirole,2021
171,AC-001,Alpha,2022-04-15,0.3,Training,Clear,False,Other,2022,Class-II Multirole,2021
172,AC-001,Alpha,2022-04-17,0.5,Training,Poor,False,Weather,2022,Class-II Multirole,2021
173,AC-001,Alpha,2022-04-19,2.7,Transit,Clear,True,,2022,Class-II Multirole,2021
174,AC-001,Alpha,2022-04-20,4.1,Transit,Clear,True,,2022,Class-II Multirole,2021
175,AC-001,Alpha,2022-04-21,2.2,Training,Poor,False,Technical,2022,Class-II Multirole,2021
176,AC-001,Alpha,2022-04-24,1.3,Operational,Marginal,False,Other,2022,Class-II Multirole,2021
177,AC-001,Alpha,2022-04-25,1.3,Training,Clear,True,,2022,Class-II Multirole,2021
178,AC-001,Alpha,2022-04-26,0.3,Reconnaissance,Clear,False,Technical,2022,Class-II Multirole,2021
179,AC-001,Alpha,2022-04-27,3.9,Transit,Clear,True,,2022,Class-II Multirole,2021
180,AC-001,Alpha,2022-04-30,2.7,Training,Clear,True,,2022,Class-II Multirole,2021
181,AC-001,Alpha,2022-05-05,0.2,Operational,Marginal,False,Weather,2022,Class-II Multirole,2021
182,AC-001,Alpha,2022-05-06,0.6,Transit,Clear,False,Technical,2022,Class-II Multirole,2021
183,AC-001,Alpha,2022-05-07,4.1,Operational,Marginal,True,,2022,Class-II Multirole,2021
184,AC-001,Alpha,2022-05-09,0.7,Training,Poor,False,Technical,2022,Class-II Multirole,2021
185,AC-001,Alpha,2022-05-10,1.5,Operational,Poor,False,Weather,2022,Class-II Multirole,2021
186,AC-001,Alpha,2022-05-11,5.8,Training,Clear,True,,2022,Class-II Multirole,2021
187,AC-001,Alpha,2022-05-13,1.1,Reconnaissance,Clear,False,Technical,2022,Class-II Multirole,2021
188,AC-001,Alpha,2022-05-16,2.4,Operational,Marginal,True,,2022,Class-II Multirole,2021
189,AC-001,Alpha,2022-05-17,1.8,Operational,Marginal,True,,2022,Class-II Multirole,2021
190,AC-001,Alpha,2022-05-18,4.4,Training,Marginal,True,,2022,Class-II Multirole,2021
191,AC-001,Alpha,2022-05-21,2.8,Transit,Clear,True,,2022,Class-II Multirole,2021
192,AC-001,Alpha,2022-05-22,3.6,Reconnaissance,Clear,True,,2022,Class-II Multirole,2021
193,AC-001,Alpha,2022-05-23,3.6,Operational,Clear,True,,2022,Class-II Multirole,2021
194,AC-001,Alpha,2022-05-24,2.0,Operational,Clear,True,,2022,Class-II Multirole,2021
195,AC-001,Alpha,2022-05-25,4.0,Operational,Marginal,True,,2022,Class-II Multirole,2021
196,AC-001,Alpha,2022-05-27,3.0,Training,Clear,True,,2022,Class-II Multirole,2021
197,AC-001,Alpha,2022-05-28,3.3,Training,Marginal,True,,2022,Class-II Multirole,2021
198,AC-001,Alpha,2022-05-29,0.4,Training,Clear,False,Other,2022,Class-II Multirole,2021
199,AC-001,Alpha,2022-06-06,0.9,Training,Clear,True,,2022,Class-II Multirole,2021
200,AC-001,Alpha,2022-06-07,1.9,Operational,Clear,True,,2022,Class-II Multirole,2021
201,AC-001,Alpha,2022-06-08,0.5,Reconnaissance,Marginal,False,Technical,2022,Class-II Multirole,2021
202,AC-001,Alpha,2022-06-09,2.9,Operational,Clear,True,,2022,Class-II Multirole,2021
203,AC-001,Alpha,2022-06-11,1.0,Training,Clear,False,Technical,2022,Class-II Multirole,2021
204,AC-001,Alpha,2022-06-13,1.1,Reconnaissance,Clear,False,Technical,2022,Class-II Multirole,2021
205,AC-001,Alpha,2022-06-15,3.4,Transit,Clear,True,,2022,Class-II Multirole,2021
206,AC-001,Alpha,2022-06-16,3.6,Reconnaissance,Clear,True,,2022,Class-II Multirole,2021
207,AC-001,Alpha,2022-06-18,0.8,Operational,Clear,True,,2022,Class-II Multirole,2021
208,AC-001,Alpha,2022-06-19,2.4,Reconnaissance,Clear,True,,2022,Class-II Multirole,2021
209,AC-001,Alpha,2022-06-21,2.7,Training,Clear,True,,2022,Class-II Multirole,2021
210,AC-001,Alpha,2022-06-26,4.9,Transit,Clear,True,,2022,Class-II Multirole,2021
211,AC-001,Alpha,2022-06-28,2.9,Training,Clear,True,,2022,Class-II Multirole,2021
212,AC-001,Alpha,2022-06-29,2.8,Transit,Marginal,True,,2022,Class-II Multirole,2021
213,AC-001,Alpha,2022-06-30,2.5,Training,Clear,True,,2022,Class-II Multirole,2021
214,AC-001,Alpha,2022-07-01,2.4,Training,Marginal,True,,2022,Class-II Multirole,2021
215,AC-001,Alpha,2022-07-04,0.6,Reconnaissance,Poor,True,,2022,Class-II Multirole,2021
216,AC-001,Alpha,2022-07-05,0.9,Training,Marginal,False,Weather,2022,Class-II Multirole,2021
217,AC-001,Alpha,2022-07-08,0.3,Operational,Marginal,False,Technical,2022,Class-II Multirole,2021
218,AC-001,Alpha,2022-07-09,3.1,Operational,Clear,True,,2022,Class-II Multirole,2021
219,AC-001,Alpha,2022-07-10,1.4,Transit,Marginal,False,Technical,2022,Class-II Multirole,2021
220,AC-001,Alpha,2022-07-11,1.0,Transit,Marginal,False,Other,2022,Class-II Multirole,2021
221,AC-001,Alpha,2022-07-13,1.4,Training,Poor,False,Weather,2022,Class-II Multirole,2021
222,AC-001,Alpha,2022-07-14,1.3,Reconnaissance,Poor,False,Weather,2022,Class-II Multirole,2021
223,AC-001,Alpha,2022-07-17,2.6,Operational,Clear,True,,2022,Class-II Multirole,2021
224,AC-001,Alpha,2022-07-18,3.5,Reconnaissance,Clear,True,,2022,Class-II Multirole,2021
225,AC-001,Alpha,2022-07-20,0.3,Training,Marginal,False,Technical,2022,Class-II Multirole,2021
226,AC-001,Alpha,2022-07-23,2.0,Training,Clear,True,,2022,Class-II Multirole,2021
227,AC-001,Alpha,2022-07-27,1.0,Operational,Clear,False,Technical,2022,Class-II Multirole,2021
228,AC-001,Alpha,2022-07-29,2.6,Transit,Poor,True,,2022,Class-II Multirole,2021
229,AC-001,Alpha,2022-07-30,1.7,Training,Clear,True,,2022,Class-II Multirole,2021
230,AC-001,Alpha,2022-08-01,1.2,Reconnaissance,Clear,False,Technical,2022,Class-II Multirole,2021
231,AC-001,Alpha,2022-08-05,0.5,Operational,Clear,False,Technical,2022,Class-II Multirole,2021
232,AC-001,Alpha,2022-08-06,1.6,Training,Marginal,False,Weather,2022,Class-II Multirole,2021
233,AC-001,Alpha,2022-08-07,2.5,Operational,Clear,True,,2022,Class-II Multirole,2021
234,AC-001,Alpha,2022-08-09,5.7,Operational,Clear,True,,2022,Class-II Multirole,2021
235,AC-001,Alpha,2022-08-10,2.5,Operational,Marginal,True,,2022,Class-II Multirole,2021
236,AC-001,Alpha,2022-08-11,4.1,Training,Clear,True,,2022,Class-II Multirole,2021
237,AC-001,Alpha,2022-08-13,3.3,Operational,Marginal,True,,2022,Class-II Multirole,2021
238,AC-001,Alpha,2022-08-14,1.7,Transit,Clear,True,,2022,Class-II Multirole,2021
239,AC-001,Alpha,2022-08-17,2.1,Operational,Clear,True,,2022,Class-II Multirole,2021
240,AC-001,Alpha,2022-08-18,3.5,Operational,Poor,True,,2022,Class-II Multirole,2021
241,AC-001,Alpha,2022-08-19,2.9,Training,Clear,True,,2022,Class-II Multirole,2021
242,AC-001,Alpha,2022-08-20,2.6,Training,Clear,True,,2022,Class-II Multirole,2021
243,AC-001,Alpha,2022-08-22,3.3,Training,Clear,True,,2022,Class-II Multirole,2021
244,AC-001,Alpha,2022-08-24,1.1,Reconnaissance,Marginal,True,,2022,Class-II Multirole,2021
245,AC-001,Alpha,2022-08-25,0.8,Training,Clear,False,Other,2022,Class-II Multirole,2021
246,AC-001,Alpha,2022-08-29,3.9,Reconnaissance,Clear,True,,2022,Class-II Multirole,2021
247,AC-001,Alpha,2022-09-03,3.8,Operational,Clear,True,,2022,Class-II Multirole,2021
248,AC-001,Alpha,2022-09-05,2.6,Training,Marginal,True,,2022,Class-II Multirole,2021
249,AC-001,Alpha,2022-09-06,0.1,Training,Marginal,False,Technical,2022,Class-II Multirole,2021
250,AC-001,Alpha,2022-09-07,2.9,Operational,Clear,True,,2022,Class-II Multirole,2021
251,AC-001,Alpha,2022-09-08,4.3,Training,Clear,True,,2022,Class-II Multirole,2021
252,AC-001,Alpha,2022-09-10,0.7,Training,Clear,False,Weather,2022,Class-II Multirole,2021
253,AC-001,Alpha,2022-09-13,2.5,Operational,Clear,True,,2022,Class-II Multirole,2021
254,AC-001,Alpha,2022-09-15,4.8,Operational,Clear,True,,2022,Class-II Multirole,2021
255,AC-001,Alpha,2022-09-16,3.3,Operational,Clear,True,,2022,Class-II Multirole,2021
256,AC-001,Alpha,2022-09-22,0.8,Operational,Clear,True,,2022,Class-II Multirole,2021
257,AC-001,Alpha,2022-09-23,0.5,Training,Clear,False,Other,2022,Class-II Multirole,2021
258,AC-001,Alpha,2022-09-25,1.5,Transit,Poor,False,Other,2022,Class-II Multirole,2021
259,AC-001,Alpha,2022-09-28,0.5,Operational,Marginal,True,,2022,Class-II Multirole,2021
260,AC-001,Alpha,2022-09-30,1.3,Training,Marginal,False,Weather,2022,Class-II Multirole,2021
261,AC-001,Alpha,2022-10-05,2.3,Operational,Clear,True,,2022,Class-II Multirole,2021
262,AC-001,Alpha,2022-10-06,1.9,Training,Marginal,True,,2022,Class-II Multirole,2021
263,AC-001,Alpha,2022-10-09,2.8,Transit,Marginal,True,,2022,Class-II Multirole,2021
264,AC-001,Alpha,2022-10-12,3.5,Reconnaissance,Clear,True,,2022,Class-II Multirole,2021
265,AC-001,Alpha,2022-10-19,2.9,Operational,Marginal,True,,2022,Class-II Multirole,2021
266,AC-001,Alpha,2022-10-21,2.7,Training,Clear,True,,2022,Class-II Multirole,2021
267,AC-001,Alpha,2022-10-23,1.7,Operational,Clear,True,,2022,Class-II Multirole,2021
268,AC-001,Alpha,2022-10-24,3.7,Training,Clear,True,,2022,Class-II Multirole,2021
269,AC-001,Alpha,2022-10-29,2.3,Training,Clear,True,,2022,Class-II Multirole,2021
270,AC-001,Alpha,2022-11-01,1.7,Reconnaissance,Clear,False,Technical,2022,Class-II Multirole,2021
271,AC-001,Alpha,2022-11-03,3.5,Operational,Clear,True,,2022,Class-II Multirole,2021
272,AC-001,Alpha,2022-11-05,3.9,Reconnaissance,Clear,True,,2022,Class-II Multirole,2021
273,AC-001,Alpha,2022-11-08,3.4,Transit,Clear,True,,2022,Class-II Multirole,2021
274,AC-001,Alpha,2022-11-09,1.0,Transit,Clear,False,Technical,2022,Class-II Multirole,2021
275,AC-001,Alpha,2022-11-12,0.6,Training,Marginal,False,Weather,2022,Class-II Multirole,2021
